Jan. 12, 2024   15:10:17
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240112Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.644V
ip = 7.023e-5A
Ap = 6.661e-6VA

Potential/V, Current/A

0.404, 5.138e-5
0.408, 4.967e-5
0.412, 4.877e-5
0.416, 4.867e-5
0.420, 4.928e-5
0.424, 5.059e-5
0.428, 5.249e-5
0.432, 5.499e-5
0.436, 5.804e-5
0.440, 6.157e-5
0.444, 6.554e-5
0.448, 6.990e-5
0.452, 7.450e-5
0.456, 7.920e-5
0.460, 8.389e-5
0.464, 8.833e-5
0.468, 9.237e-5
0.472, 9.579e-5
0.476, 9.846e-5
0.480, 1.002e-4
0.484, 1.011e-4
0.488, 1.011e-4
0.492, 1.002e-4
0.496, 9.873e-5
0.500, 9.669e-5
0.504, 9.431e-5
0.508, 9.177e-5
0.512, 8.917e-5
0.516, 8.667e-5
0.520, 8.435e-5
0.524, 8.227e-5
0.528, 8.045e-5
0.532, 7.897e-5
0.536, 7.778e-5
0.540, 7.694e-5
0.544, 7.640e-5
0.548, 7.616e-5
0.552, 7.619e-5
0.556, 7.651e-5
0.560, 7.707e-5
0.564, 7.786e-5
0.568, 7.887e-5
0.572, 8.009e-5
0.576, 8.155e-5
0.580, 8.323e-5
0.584, 8.514e-5
0.588, 8.730e-5
0.592, 8.975e-5
0.596, 9.246e-5
0.600, 9.549e-5
0.604, 9.882e-5
0.608, 1.024e-4
0.612, 1.062e-4
0.616, 1.101e-4
0.620, 1.141e-4
0.624, 1.179e-4
0.628, 1.216e-4
0.632, 1.248e-4
0.636, 1.274e-4
0.640, 1.292e-4
0.644, 1.301e-4
0.648, 1.300e-4
0.652, 1.289e-4
0.656, 1.268e-4
0.660, 1.238e-4
0.664, 1.201e-4
0.668, 1.159e-4
0.672, 1.114e-4
0.676, 1.069e-4
0.680, 1.023e-4
0.684, 9.780e-5
0.688, 9.342e-5
0.692, 8.921e-5
0.696, 8.513e-5
0.700, 8.123e-5
0.704, 7.747e-5
0.708, 7.389e-5
0.712, 7.045e-5
0.716, 6.717e-5
0.720, 6.403e-5
0.724, 6.103e-5
0.728, 5.816e-5
0.732, 5.544e-5
0.736, 5.284e-5
0.740, 5.039e-5
0.744, 4.806e-5
0.748, 4.587e-5
0.752, 4.379e-5
0.756, 4.185e-5
0.760, 4.001e-5
0.764, 3.829e-5
0.768, 3.667e-5
0.772, 3.516e-5
0.776, 3.375e-5
0.780, 3.244e-5
0.784, 3.120e-5
0.788, 3.004e-5
0.792, 2.896e-5
0.796, 2.794e-5
0.800, 2.699e-5
0.804, 2.610e-5
0.808, 2.527e-5
0.812, 2.449e-5
0.816, 2.376e-5
0.820, 2.308e-5
0.824, 2.243e-5
0.828, 2.183e-5
0.832, 2.126e-5
0.836, 2.074e-5
0.840, 2.025e-5
0.844, 1.979e-5
0.848, 1.937e-5
0.852, 1.899e-5
0.856, 1.862e-5
0.860, 1.829e-5
0.864, 1.799e-5
0.868, 1.771e-5
0.872, 1.746e-5
0.876, 1.723e-5
0.880, 1.702e-5
0.884, 1.684e-5
0.888, 1.668e-5
0.892, 1.655e-5
0.896, 1.643e-5
0.900, 1.633e-5
