Jan. 26, 2024   14:58:11
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240126Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.664V
ip = 1.282e-4A
Ap = 1.323e-5VA

Potential/V, Current/A

0.404, 8.318e-5
0.408, 8.347e-5
0.412, 8.477e-5
0.416, 8.699e-5
0.420, 8.999e-5
0.424, 9.363e-5
0.428, 9.772e-5
0.432, 1.021e-4
0.436, 1.067e-4
0.440, 1.112e-4
0.444, 1.156e-4
0.448, 1.195e-4
0.452, 1.230e-4
0.456, 1.258e-4
0.460, 1.279e-4
0.464, 1.291e-4
0.468, 1.294e-4
0.472, 1.289e-4
0.476, 1.275e-4
0.480, 1.254e-4
0.484, 1.226e-4
0.488, 1.193e-4
0.492, 1.156e-4
0.496, 1.116e-4
0.500, 1.076e-4
0.504, 1.036e-4
0.508, 9.971e-5
0.512, 9.606e-5
0.516, 9.272e-5
0.520, 8.970e-5
0.524, 8.707e-5
0.528, 8.481e-5
0.532, 8.297e-5
0.536, 8.151e-5
0.540, 8.046e-5
0.544, 7.982e-5
0.548, 7.957e-5
0.552, 7.973e-5
0.556, 8.026e-5
0.560, 8.121e-5
0.564, 8.252e-5
0.568, 8.419e-5
0.572, 8.624e-5
0.576, 8.863e-5
0.580, 9.137e-5
0.584, 9.444e-5
0.588, 9.783e-5
0.592, 1.015e-4
0.596, 1.056e-4
0.600, 1.100e-4
0.604, 1.147e-4
0.608, 1.198e-4
0.612, 1.252e-4
0.616, 1.309e-4
0.620, 1.367e-4
0.624, 1.428e-4
0.628, 1.490e-4
0.632, 1.553e-4
0.636, 1.614e-4
0.640, 1.673e-4
0.644, 1.727e-4
0.648, 1.777e-4
0.652, 1.818e-4
0.656, 1.850e-4
0.660, 1.871e-4
0.664, 1.879e-4
0.668, 1.875e-4
0.672, 1.857e-4
0.676, 1.825e-4
0.680, 1.780e-4
0.684, 1.724e-4
0.688, 1.658e-4
0.692, 1.585e-4
0.696, 1.506e-4
0.700, 1.422e-4
0.704, 1.337e-4
0.708, 1.252e-4
0.712, 1.169e-4
0.716, 1.089e-4
0.720, 1.014e-4
0.724, 9.447e-5
0.728, 8.811e-5
0.732, 8.238e-5
0.736, 7.721e-5
0.740, 7.255e-5
0.744, 6.832e-5
0.748, 6.449e-5
0.752, 6.099e-5
0.756, 5.778e-5
0.760, 5.481e-5
0.764, 5.205e-5
0.768, 4.948e-5
0.772, 4.711e-5
0.776, 4.491e-5
0.780, 4.285e-5
0.784, 4.092e-5
0.788, 3.913e-5
0.792, 3.745e-5
0.796, 3.588e-5
0.800, 3.442e-5
0.804, 3.306e-5
0.808, 3.177e-5
0.812, 3.058e-5
0.816, 2.946e-5
0.820, 2.841e-5
0.824, 2.742e-5
0.828, 2.650e-5
0.832, 2.564e-5
0.836, 2.484e-5
0.840, 2.409e-5
0.844, 2.339e-5
0.848, 2.273e-5
0.852, 2.212e-5
0.856, 2.155e-5
0.860, 2.103e-5
0.864, 2.055e-5
0.868, 2.010e-5
0.872, 1.968e-5
0.876, 1.930e-5
0.880, 1.895e-5
0.884, 1.863e-5
0.888, 1.834e-5
0.892, 1.807e-5
0.896, 1.783e-5
0.900, 1.762e-5
