Feb. 2, 2024   17:12:43
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240202Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.660V
ip = 5.629e-5A
Ap = 6.671e-6VA

Potential/V, Current/A

0.404, 5.826e-5
0.408, 5.616e-5
0.412, 5.491e-5
0.416, 5.443e-5
0.420, 5.462e-5
0.424, 5.535e-5
0.428, 5.657e-5
0.432, 5.824e-5
0.436, 6.033e-5
0.440, 6.273e-5
0.444, 6.541e-5
0.448, 6.832e-5
0.452, 7.134e-5
0.456, 7.442e-5
0.460, 7.744e-5
0.464, 8.032e-5
0.468, 8.292e-5
0.472, 8.514e-5
0.476, 8.690e-5
0.480, 8.812e-5
0.484, 8.876e-5
0.488, 8.881e-5
0.492, 8.830e-5
0.496, 8.727e-5
0.500, 8.581e-5
0.504, 8.402e-5
0.508, 8.200e-5
0.512, 7.986e-5
0.516, 7.771e-5
0.520, 7.563e-5
0.524, 7.367e-5
0.528, 7.192e-5
0.532, 7.038e-5
0.536, 6.910e-5
0.540, 6.809e-5
0.544, 6.735e-5
0.548, 6.689e-5
0.552, 6.671e-5
0.556, 6.680e-5
0.560, 6.715e-5
0.564, 6.775e-5
0.568, 6.858e-5
0.572, 6.961e-5
0.576, 7.084e-5
0.580, 7.225e-5
0.584, 7.380e-5
0.588, 7.546e-5
0.592, 7.726e-5
0.596, 7.916e-5
0.600, 8.114e-5
0.604, 8.320e-5
0.608, 8.532e-5
0.612, 8.749e-5
0.616, 8.971e-5
0.620, 9.194e-5
0.624, 9.419e-5
0.628, 9.643e-5
0.632, 9.863e-5
0.636, 1.007e-4
0.640, 1.027e-4
0.644, 1.044e-4
0.648, 1.059e-4
0.652, 1.071e-4
0.656, 1.079e-4
0.660, 1.083e-4
0.664, 1.082e-4
0.668, 1.076e-4
0.672, 1.065e-4
0.676, 1.050e-4
0.680, 1.030e-4
0.684, 1.007e-4
0.688, 9.800e-5
0.692, 9.511e-5
0.696, 9.204e-5
0.700, 8.885e-5
0.704, 8.562e-5
0.708, 8.240e-5
0.712, 7.923e-5
0.716, 7.613e-5
0.720, 7.316e-5
0.724, 7.031e-5
0.728, 6.756e-5
0.732, 6.495e-5
0.736, 6.244e-5
0.740, 6.004e-5
0.744, 5.775e-5
0.748, 5.554e-5
0.752, 5.342e-5
0.756, 5.138e-5
0.760, 4.941e-5
0.764, 4.752e-5
0.768, 4.570e-5
0.772, 4.396e-5
0.776, 4.231e-5
0.780, 4.071e-5
0.784, 3.919e-5
0.788, 3.773e-5
0.792, 3.633e-5
0.796, 3.501e-5
0.800, 3.374e-5
0.804, 3.255e-5
0.808, 3.141e-5
0.812, 3.033e-5
0.816, 2.930e-5
0.820, 2.834e-5
0.824, 2.741e-5
0.828, 2.655e-5
0.832, 2.574e-5
0.836, 2.499e-5
0.840, 2.427e-5
0.844, 2.359e-5
0.848, 2.296e-5
0.852, 2.236e-5
0.856, 2.180e-5
0.860, 2.128e-5
0.864, 2.079e-5
0.868, 2.034e-5
0.872, 1.993e-5
0.876, 1.954e-5
0.880, 1.918e-5
0.884, 1.885e-5
0.888, 1.855e-5
0.892, 1.828e-5
0.896, 1.802e-5
0.900, 1.780e-5
