Feb. 2, 2024   11:32:35
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240202Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.648V
ip = 2.647e-5A
Ap = 2.757e-6VA

Potential/V, Current/A

0.404, 4.796e-5
0.408, 4.633e-5
0.412, 4.532e-5
0.416, 4.484e-5
0.420, 4.487e-5
0.424, 4.532e-5
0.428, 4.615e-5
0.432, 4.733e-5
0.436, 4.881e-5
0.440, 5.057e-5
0.444, 5.257e-5
0.448, 5.474e-5
0.452, 5.703e-5
0.456, 5.937e-5
0.460, 6.169e-5
0.464, 6.391e-5
0.468, 6.594e-5
0.472, 6.767e-5
0.476, 6.908e-5
0.480, 7.008e-5
0.484, 7.066e-5
0.488, 7.081e-5
0.492, 7.054e-5
0.496, 6.991e-5
0.500, 6.900e-5
0.504, 6.787e-5
0.508, 6.660e-5
0.512, 6.525e-5
0.516, 6.392e-5
0.520, 6.266e-5
0.524, 6.152e-5
0.528, 6.053e-5
0.532, 5.973e-5
0.536, 5.910e-5
0.540, 5.866e-5
0.544, 5.840e-5
0.548, 5.832e-5
0.552, 5.838e-5
0.556, 5.857e-5
0.560, 5.887e-5
0.564, 5.923e-5
0.568, 5.967e-5
0.572, 6.015e-5
0.576, 6.064e-5
0.580, 6.116e-5
0.584, 6.168e-5
0.588, 6.220e-5
0.592, 6.274e-5
0.596, 6.332e-5
0.600, 6.392e-5
0.604, 6.456e-5
0.608, 6.526e-5
0.612, 6.600e-5
0.616, 6.679e-5
0.620, 6.762e-5
0.624, 6.845e-5
0.628, 6.927e-5
0.632, 7.003e-5
0.636, 7.069e-5
0.640, 7.122e-5
0.644, 7.155e-5
0.648, 7.166e-5
0.652, 7.150e-5
0.656, 7.106e-5
0.660, 7.031e-5
0.664, 6.925e-5
0.668, 6.793e-5
0.672, 6.636e-5
0.676, 6.461e-5
0.680, 6.271e-5
0.684, 6.071e-5
0.688, 5.867e-5
0.692, 5.661e-5
0.696, 5.456e-5
0.700, 5.256e-5
0.704, 5.060e-5
0.708, 4.869e-5
0.712, 4.684e-5
0.716, 4.504e-5
0.720, 4.330e-5
0.724, 4.162e-5
0.728, 4.000e-5
0.732, 3.844e-5
0.736, 3.693e-5
0.740, 3.548e-5
0.744, 3.410e-5
0.748, 3.277e-5
0.752, 3.149e-5
0.756, 3.026e-5
0.760, 2.909e-5
0.764, 2.797e-5
0.768, 2.691e-5
0.772, 2.590e-5
0.776, 2.495e-5
0.780, 2.405e-5
0.784, 2.318e-5
0.788, 2.237e-5
0.792, 2.159e-5
0.796, 2.086e-5
0.800, 2.017e-5
0.804, 1.953e-5
0.808, 1.892e-5
0.812, 1.834e-5
0.816, 1.780e-5
0.820, 1.728e-5
0.824, 1.679e-5
0.828, 1.633e-5
0.832, 1.590e-5
0.836, 1.550e-5
0.840, 1.511e-5
0.844, 1.476e-5
0.848, 1.442e-5
0.852, 1.411e-5
0.856, 1.382e-5
0.860, 1.356e-5
0.864, 1.331e-5
0.868, 1.308e-5
0.872, 1.287e-5
0.876, 1.268e-5
0.880, 1.251e-5
0.884, 1.235e-5
0.888, 1.221e-5
0.892, 1.208e-5
0.896, 1.197e-5
0.900, 1.187e-5
