Feb. 2, 2024   11:23:56
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240202Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.656V
ip = 3.840e-5A
Ap = 4.486e-6VA

Potential/V, Current/A

0.404, 5.281e-5
0.408, 5.055e-5
0.412, 4.909e-5
0.416, 4.841e-5
0.420, 4.835e-5
0.424, 4.887e-5
0.428, 4.986e-5
0.432, 5.139e-5
0.436, 5.332e-5
0.440, 5.567e-5
0.444, 5.838e-5
0.448, 6.141e-5
0.452, 6.470e-5
0.456, 6.818e-5
0.460, 7.175e-5
0.464, 7.529e-5
0.468, 7.873e-5
0.472, 8.188e-5
0.476, 8.465e-5
0.480, 8.689e-5
0.484, 8.854e-5
0.488, 8.954e-5
0.492, 8.986e-5
0.496, 8.954e-5
0.500, 8.866e-5
0.504, 8.733e-5
0.508, 8.568e-5
0.512, 8.383e-5
0.516, 8.192e-5
0.520, 8.003e-5
0.524, 7.828e-5
0.528, 7.670e-5
0.532, 7.537e-5
0.536, 7.428e-5
0.540, 7.347e-5
0.544, 7.293e-5
0.548, 7.266e-5
0.552, 7.265e-5
0.556, 7.285e-5
0.560, 7.327e-5
0.564, 7.387e-5
0.568, 7.463e-5
0.572, 7.549e-5
0.576, 7.644e-5
0.580, 7.746e-5
0.584, 7.850e-5
0.588, 7.955e-5
0.592, 8.060e-5
0.596, 8.164e-5
0.600, 8.266e-5
0.604, 8.366e-5
0.608, 8.467e-5
0.612, 8.566e-5
0.616, 8.667e-5
0.620, 8.766e-5
0.624, 8.867e-5
0.628, 8.968e-5
0.632, 9.064e-5
0.636, 9.153e-5
0.640, 9.236e-5
0.644, 9.305e-5
0.648, 9.356e-5
0.652, 9.382e-5
0.656, 9.384e-5
0.660, 9.353e-5
0.664, 9.292e-5
0.668, 9.197e-5
0.672, 9.071e-5
0.676, 8.912e-5
0.680, 8.724e-5
0.684, 8.511e-5
0.688, 8.280e-5
0.692, 8.036e-5
0.696, 7.785e-5
0.700, 7.529e-5
0.704, 7.274e-5
0.708, 7.021e-5
0.712, 6.771e-5
0.716, 6.527e-5
0.720, 6.289e-5
0.724, 6.055e-5
0.728, 5.828e-5
0.732, 5.608e-5
0.736, 5.394e-5
0.740, 5.188e-5
0.744, 4.987e-5
0.748, 4.793e-5
0.752, 4.604e-5
0.756, 4.422e-5
0.760, 4.247e-5
0.764, 4.079e-5
0.768, 3.918e-5
0.772, 3.765e-5
0.776, 3.620e-5
0.780, 3.481e-5
0.784, 3.348e-5
0.788, 3.221e-5
0.792, 3.103e-5
0.796, 2.991e-5
0.800, 2.882e-5
0.804, 2.779e-5
0.808, 2.682e-5
0.812, 2.591e-5
0.816, 2.505e-5
0.820, 2.424e-5
0.824, 2.346e-5
0.828, 2.275e-5
0.832, 2.207e-5
0.836, 2.144e-5
0.840, 2.085e-5
0.844, 2.028e-5
0.848, 1.976e-5
0.852, 1.927e-5
0.856, 1.881e-5
0.860, 1.838e-5
0.864, 1.798e-5
0.868, 1.761e-5
0.872, 1.727e-5
0.876, 1.695e-5
0.880, 1.666e-5
0.884, 1.639e-5
0.888, 1.615e-5
0.892, 1.592e-5
0.896, 1.572e-5
0.900, 1.553e-5
