Jan. 11, 2024   15:52:59
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240111Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.668V
ip = 1.370e-4A
Ap = 1.242e-5VA

Potential/V, Current/A

0.404, 8.636e-5
0.408, 8.613e-5
0.412, 8.654e-5
0.416, 8.758e-5
0.420, 8.908e-5
0.424, 9.096e-5
0.428, 9.316e-5
0.432, 9.558e-5
0.436, 9.816e-5
0.440, 1.008e-4
0.444, 1.035e-4
0.448, 1.062e-4
0.452, 1.087e-4
0.456, 1.110e-4
0.460, 1.130e-4
0.464, 1.147e-4
0.468, 1.160e-4
0.472, 1.167e-4
0.476, 1.170e-4
0.480, 1.168e-4
0.484, 1.160e-4
0.488, 1.147e-4
0.492, 1.131e-4
0.496, 1.110e-4
0.500, 1.087e-4
0.504, 1.062e-4
0.508, 1.037e-4
0.512, 1.011e-4
0.516, 9.861e-5
0.520, 9.624e-5
0.524, 9.407e-5
0.528, 9.211e-5
0.532, 9.043e-5
0.536, 8.898e-5
0.540, 8.789e-5
0.544, 8.703e-5
0.548, 8.652e-5
0.552, 8.631e-5
0.556, 8.643e-5
0.560, 8.684e-5
0.564, 8.760e-5
0.568, 8.865e-5
0.572, 9.003e-5
0.576, 9.175e-5
0.580, 9.381e-5
0.584, 9.625e-5
0.588, 9.904e-5
0.592, 1.023e-4
0.596, 1.059e-4
0.600, 1.099e-4
0.604, 1.145e-4
0.608, 1.195e-4
0.612, 1.250e-4
0.616, 1.310e-4
0.620, 1.374e-4
0.624, 1.442e-4
0.628, 1.514e-4
0.632, 1.588e-4
0.636, 1.663e-4
0.640, 1.737e-4
0.644, 1.809e-4
0.648, 1.876e-4
0.652, 1.937e-4
0.656, 1.989e-4
0.660, 2.029e-4
0.664, 2.057e-4
0.668, 2.069e-4
0.672, 2.065e-4
0.676, 2.043e-4
0.680, 2.002e-4
0.684, 1.943e-4
0.688, 1.868e-4
0.692, 1.777e-4
0.696, 1.674e-4
0.700, 1.563e-4
0.704, 1.450e-4
0.708, 1.337e-4
0.712, 1.230e-4
0.716, 1.132e-4
0.720, 1.046e-4
0.724, 9.702e-5
0.728, 9.055e-5
0.732, 8.501e-5
0.736, 8.020e-5
0.740, 7.603e-5
0.744, 7.236e-5
0.748, 6.910e-5
0.752, 6.619e-5
0.756, 6.356e-5
0.760, 6.119e-5
0.764, 5.902e-5
0.768, 5.705e-5
0.772, 5.525e-5
0.776, 5.361e-5
0.780, 5.208e-5
0.784, 5.068e-5
0.788, 4.939e-5
0.792, 4.818e-5
0.796, 4.709e-5
0.800, 4.606e-5
0.804, 4.513e-5
0.808, 4.425e-5
0.812, 4.344e-5
0.816, 4.269e-5
0.820, 4.200e-5
0.824, 4.134e-5
0.828, 4.074e-5
0.832, 4.018e-5
0.836, 3.967e-5
0.840, 3.919e-5
0.844, 3.875e-5
0.848, 3.834e-5
0.852, 3.796e-5
0.856, 3.763e-5
0.860, 3.730e-5
0.864, 3.702e-5
0.868, 3.676e-5
0.872, 3.653e-5
0.876, 3.633e-5
0.880, 3.615e-5
0.884, 3.600e-5
0.888, 3.588e-5
0.892, 3.578e-5
0.896, 3.570e-5
0.900, 3.566e-5
