Jan. 11, 2024   14:44:53
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240111Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.692V
ip = 1.904e-4A
Ap = 1.950e-5VA

Potential/V, Current/A

0.404, 9.866e-5
0.408, 9.799e-5
0.412, 9.821e-5
0.416, 9.920e-5
0.420, 1.009e-4
0.424, 1.031e-4
0.428, 1.057e-4
0.432, 1.087e-4
0.436, 1.119e-4
0.440, 1.153e-4
0.444, 1.188e-4
0.448, 1.222e-4
0.452, 1.256e-4
0.456, 1.287e-4
0.460, 1.314e-4
0.464, 1.337e-4
0.468, 1.354e-4
0.472, 1.365e-4
0.476, 1.370e-4
0.480, 1.367e-4
0.484, 1.356e-4
0.488, 1.339e-4
0.492, 1.317e-4
0.496, 1.289e-4
0.500, 1.257e-4
0.504, 1.222e-4
0.508, 1.186e-4
0.512, 1.149e-4
0.516, 1.112e-4
0.520, 1.076e-4
0.524, 1.042e-4
0.528, 1.010e-4
0.532, 9.815e-5
0.536, 9.549e-5
0.540, 9.316e-5
0.544, 9.114e-5
0.548, 8.945e-5
0.552, 8.807e-5
0.556, 8.700e-5
0.560, 8.626e-5
0.564, 8.587e-5
0.568, 8.580e-5
0.572, 8.611e-5
0.576, 8.678e-5
0.580, 8.785e-5
0.584, 8.932e-5
0.588, 9.128e-5
0.592, 9.368e-5
0.596, 9.660e-5
0.600, 1.001e-4
0.604, 1.041e-4
0.608, 1.087e-4
0.612, 1.139e-4
0.616, 1.198e-4
0.620, 1.263e-4
0.624, 1.334e-4
0.628, 1.411e-4
0.632, 1.494e-4
0.636, 1.582e-4
0.640, 1.675e-4
0.644, 1.770e-4
0.648, 1.868e-4
0.652, 1.966e-4
0.656, 2.064e-4
0.660, 2.161e-4
0.664, 2.252e-4
0.668, 2.337e-4
0.672, 2.415e-4
0.676, 2.480e-4
0.680, 2.533e-4
0.684, 2.571e-4
0.688, 2.592e-4
0.692, 2.594e-4
0.696, 2.576e-4
0.700, 2.538e-4
0.704, 2.479e-4
0.708, 2.402e-4
0.712, 2.306e-4
0.716, 2.194e-4
0.720, 2.069e-4
0.724, 1.936e-4
0.728, 1.799e-4
0.732, 1.664e-4
0.736, 1.536e-4
0.740, 1.418e-4
0.744, 1.311e-4
0.748, 1.218e-4
0.752, 1.136e-4
0.756, 1.065e-4
0.760, 1.004e-4
0.764, 9.507e-5
0.768, 9.036e-5
0.772, 8.620e-5
0.776, 8.249e-5
0.780, 7.911e-5
0.784, 7.604e-5
0.788, 7.323e-5
0.792, 7.064e-5
0.796, 6.828e-5
0.800, 6.606e-5
0.804, 6.402e-5
0.808, 6.211e-5
0.812, 6.033e-5
0.816, 5.867e-5
0.820, 5.712e-5
0.824, 5.563e-5
0.828, 5.427e-5
0.832, 5.299e-5
0.836, 5.179e-5
0.840, 5.067e-5
0.844, 4.963e-5
0.848, 4.864e-5
0.852, 4.771e-5
0.856, 4.685e-5
0.860, 4.605e-5
0.864, 4.530e-5
0.868, 4.461e-5
0.872, 4.397e-5
0.876, 4.338e-5
0.880, 4.283e-5
0.884, 4.234e-5
0.888, 4.189e-5
0.892, 4.149e-5
0.896, 4.113e-5
0.900, 4.081e-5
