Jan. 9, 2024   16:44:37
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240109\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.652V
ip = 2.991e-5A
Ap = 2.555e-6VA

Potential/V, Current/A

0.404, 3.670e-5
0.408, 3.496e-5
0.412, 3.368e-5
0.416, 3.283e-5
0.420, 3.238e-5
0.424, 3.227e-5
0.428, 3.248e-5
0.432, 3.302e-5
0.436, 3.383e-5
0.440, 3.494e-5
0.444, 3.631e-5
0.448, 3.793e-5
0.452, 3.979e-5
0.456, 4.186e-5
0.460, 4.411e-5
0.464, 4.645e-5
0.468, 4.886e-5
0.472, 5.124e-5
0.476, 5.353e-5
0.480, 5.562e-5
0.484, 5.747e-5
0.488, 5.901e-5
0.492, 6.016e-5
0.496, 6.091e-5
0.500, 6.127e-5
0.504, 6.126e-5
0.508, 6.091e-5
0.512, 6.029e-5
0.516, 5.945e-5
0.520, 5.846e-5
0.524, 5.743e-5
0.528, 5.635e-5
0.532, 5.531e-5
0.536, 5.433e-5
0.540, 5.348e-5
0.544, 5.271e-5
0.548, 5.209e-5
0.552, 5.158e-5
0.556, 5.125e-5
0.560, 5.103e-5
0.564, 5.093e-5
0.568, 5.094e-5
0.572, 5.107e-5
0.576, 5.129e-5
0.580, 5.162e-5
0.584, 5.205e-5
0.588, 5.257e-5
0.592, 5.321e-5
0.596, 5.396e-5
0.600, 5.481e-5
0.604, 5.579e-5
0.608, 5.690e-5
0.612, 5.814e-5
0.616, 5.951e-5
0.620, 6.099e-5
0.624, 6.255e-5
0.628, 6.416e-5
0.632, 6.576e-5
0.636, 6.727e-5
0.640, 6.863e-5
0.644, 6.975e-5
0.648, 7.053e-5
0.652, 7.094e-5
0.656, 7.087e-5
0.660, 7.030e-5
0.664, 6.922e-5
0.668, 6.767e-5
0.672, 6.574e-5
0.676, 6.348e-5
0.680, 6.102e-5
0.684, 5.844e-5
0.688, 5.587e-5
0.692, 5.336e-5
0.696, 5.095e-5
0.700, 4.869e-5
0.704, 4.658e-5
0.708, 4.463e-5
0.712, 4.282e-5
0.716, 4.115e-5
0.720, 3.959e-5
0.724, 3.814e-5
0.728, 3.677e-5
0.732, 3.548e-5
0.736, 3.425e-5
0.740, 3.306e-5
0.744, 3.191e-5
0.748, 3.081e-5
0.752, 2.975e-5
0.756, 2.872e-5
0.760, 2.773e-5
0.764, 2.677e-5
0.768, 2.585e-5
0.772, 2.496e-5
0.776, 2.412e-5
0.780, 2.330e-5
0.784, 2.252e-5
0.788, 2.179e-5
0.792, 2.108e-5
0.796, 2.041e-5
0.800, 1.977e-5
0.804, 1.916e-5
0.808, 1.858e-5
0.812, 1.804e-5
0.816, 1.752e-5
0.820, 1.704e-5
0.824, 1.658e-5
0.828, 1.616e-5
0.832, 1.576e-5
0.836, 1.539e-5
0.840, 1.503e-5
0.844, 1.471e-5
0.848, 1.440e-5
0.852, 1.412e-5
0.856, 1.386e-5
0.860, 1.362e-5
0.864, 1.340e-5
0.868, 1.320e-5
0.872, 1.301e-5
0.876, 1.284e-5
0.880, 1.269e-5
0.884, 1.256e-5
0.888, 1.244e-5
0.892, 1.233e-5
0.896, 1.224e-5
0.900, 1.216e-5
