Jan. 30, 2024   16:45:36
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240130Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.648V
ip = 6.378e-5A
Ap = 6.228e-6VA

Potential/V, Current/A

0.404, 5.619e-5
0.408, 5.517e-5
0.412, 5.486e-5
0.416, 5.521e-5
0.420, 5.611e-5
0.424, 5.745e-5
0.428, 5.919e-5
0.432, 6.123e-5
0.436, 6.352e-5
0.440, 6.598e-5
0.444, 6.851e-5
0.448, 7.105e-5
0.452, 7.351e-5
0.456, 7.582e-5
0.460, 7.786e-5
0.464, 7.959e-5
0.468, 8.095e-5
0.472, 8.185e-5
0.476, 8.230e-5
0.480, 8.228e-5
0.484, 8.182e-5
0.488, 8.093e-5
0.492, 7.972e-5
0.496, 7.822e-5
0.500, 7.656e-5
0.504, 7.478e-5
0.508, 7.299e-5
0.512, 7.125e-5
0.516, 6.964e-5
0.520, 6.821e-5
0.524, 6.698e-5
0.528, 6.602e-5
0.532, 6.532e-5
0.536, 6.489e-5
0.540, 6.473e-5
0.544, 6.483e-5
0.548, 6.520e-5
0.552, 6.581e-5
0.556, 6.665e-5
0.560, 6.771e-5
0.564, 6.897e-5
0.568, 7.038e-5
0.572, 7.195e-5
0.576, 7.367e-5
0.580, 7.551e-5
0.584, 7.750e-5
0.588, 7.959e-5
0.592, 8.183e-5
0.596, 8.418e-5
0.600, 8.665e-5
0.604, 8.925e-5
0.608, 9.196e-5
0.612, 9.474e-5
0.616, 9.758e-5
0.620, 1.004e-4
0.624, 1.032e-4
0.628, 1.058e-4
0.632, 1.081e-4
0.636, 1.101e-4
0.640, 1.116e-4
0.644, 1.125e-4
0.648, 1.127e-4
0.652, 1.122e-4
0.656, 1.108e-4
0.660, 1.086e-4
0.664, 1.056e-4
0.668, 1.020e-4
0.672, 9.774e-5
0.676, 9.318e-5
0.680, 8.844e-5
0.684, 8.371e-5
0.688, 7.911e-5
0.692, 7.473e-5
0.696, 7.062e-5
0.700, 6.679e-5
0.704, 6.324e-5
0.708, 5.995e-5
0.712, 5.690e-5
0.716, 5.406e-5
0.720, 5.140e-5
0.724, 4.891e-5
0.728, 4.656e-5
0.732, 4.438e-5
0.736, 4.232e-5
0.740, 4.037e-5
0.744, 3.853e-5
0.748, 3.680e-5
0.752, 3.515e-5
0.756, 3.361e-5
0.760, 3.214e-5
0.764, 3.077e-5
0.768, 2.947e-5
0.772, 2.825e-5
0.776, 2.711e-5
0.780, 2.603e-5
0.784, 2.501e-5
0.788, 2.404e-5
0.792, 2.313e-5
0.796, 2.227e-5
0.800, 2.146e-5
0.804, 2.070e-5
0.808, 1.998e-5
0.812, 1.931e-5
0.816, 1.868e-5
0.820, 1.808e-5
0.824, 1.751e-5
0.828, 1.698e-5
0.832, 1.648e-5
0.836, 1.602e-5
0.840, 1.558e-5
0.844, 1.518e-5
0.848, 1.480e-5
0.852, 1.445e-5
0.856, 1.413e-5
0.860, 1.383e-5
0.864, 1.355e-5
0.868, 1.330e-5
0.872, 1.306e-5
0.876, 1.285e-5
0.880, 1.266e-5
0.884, 1.249e-5
0.888, 1.234e-5
0.892, 1.221e-5
0.896, 1.209e-5
0.900, 1.199e-5
