Jan. 30, 2024   16:17:07
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240130Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.660V
ip = 8.906e-5A
Ap = 9.736e-6VA

Potential/V, Current/A

0.404, 6.326e-5
0.408, 6.157e-5
0.412, 6.084e-5
0.416, 6.096e-5
0.420, 6.182e-5
0.424, 6.333e-5
0.428, 6.539e-5
0.432, 6.795e-5
0.436, 7.094e-5
0.440, 7.426e-5
0.444, 7.787e-5
0.448, 8.165e-5
0.452, 8.550e-5
0.456, 8.933e-5
0.460, 9.303e-5
0.464, 9.640e-5
0.468, 9.942e-5
0.472, 1.019e-4
0.476, 1.038e-4
0.480, 1.049e-4
0.484, 1.054e-4
0.488, 1.052e-4
0.492, 1.043e-4
0.496, 1.028e-4
0.500, 1.009e-4
0.504, 9.858e-5
0.508, 9.611e-5
0.512, 9.354e-5
0.516, 9.105e-5
0.520, 8.869e-5
0.524, 8.655e-5
0.528, 8.468e-5
0.532, 8.314e-5
0.536, 8.192e-5
0.540, 8.107e-5
0.544, 8.056e-5
0.548, 8.041e-5
0.552, 8.062e-5
0.556, 8.118e-5
0.560, 8.208e-5
0.564, 8.330e-5
0.568, 8.484e-5
0.572, 8.665e-5
0.576, 8.876e-5
0.580, 9.111e-5
0.584, 9.369e-5
0.588, 9.645e-5
0.592, 9.942e-5
0.596, 1.026e-4
0.600, 1.059e-4
0.604, 1.093e-4
0.608, 1.129e-4
0.612, 1.165e-4
0.616, 1.203e-4
0.620, 1.240e-4
0.624, 1.278e-4
0.628, 1.315e-4
0.632, 1.352e-4
0.636, 1.386e-4
0.640, 1.417e-4
0.644, 1.444e-4
0.648, 1.467e-4
0.652, 1.484e-4
0.656, 1.494e-4
0.660, 1.496e-4
0.664, 1.491e-4
0.668, 1.477e-4
0.672, 1.455e-4
0.676, 1.424e-4
0.680, 1.386e-4
0.684, 1.341e-4
0.688, 1.291e-4
0.692, 1.237e-4
0.696, 1.181e-4
0.700, 1.124e-4
0.704, 1.067e-4
0.708, 1.011e-4
0.712, 9.582e-5
0.716, 9.079e-5
0.720, 8.604e-5
0.724, 8.159e-5
0.728, 7.744e-5
0.732, 7.357e-5
0.736, 6.995e-5
0.740, 6.656e-5
0.744, 6.338e-5
0.748, 6.040e-5
0.752, 5.759e-5
0.756, 5.494e-5
0.760, 5.244e-5
0.764, 5.009e-5
0.768, 4.787e-5
0.772, 4.578e-5
0.776, 4.383e-5
0.780, 4.197e-5
0.784, 4.022e-5
0.788, 3.858e-5
0.792, 3.702e-5
0.796, 3.557e-5
0.800, 3.420e-5
0.804, 3.291e-5
0.808, 3.171e-5
0.812, 3.058e-5
0.816, 2.952e-5
0.820, 2.851e-5
0.824, 2.756e-5
0.828, 2.668e-5
0.832, 2.584e-5
0.836, 2.507e-5
0.840, 2.433e-5
0.844, 2.364e-5
0.848, 2.300e-5
0.852, 2.241e-5
0.856, 2.186e-5
0.860, 2.134e-5
0.864, 2.085e-5
0.868, 2.041e-5
0.872, 2.000e-5
0.876, 1.962e-5
0.880, 1.927e-5
0.884, 1.896e-5
0.888, 1.867e-5
0.892, 1.841e-5
0.896, 1.818e-5
0.900, 1.798e-5
