Jan. 27, 2024   15:39:29
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240127Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.656V
ip = 9.269e-5A
Ap = 8.779e-6VA

Potential/V, Current/A

0.404, 6.442e-5
0.408, 6.478e-5
0.412, 6.573e-5
0.416, 6.731e-5
0.420, 6.933e-5
0.424, 7.169e-5
0.428, 7.427e-5
0.432, 7.698e-5
0.436, 7.968e-5
0.440, 8.227e-5
0.444, 8.465e-5
0.448, 8.669e-5
0.452, 8.834e-5
0.456, 8.948e-5
0.460, 9.008e-5
0.464, 9.014e-5
0.468, 8.961e-5
0.472, 8.848e-5
0.476, 8.687e-5
0.480, 8.479e-5
0.484, 8.238e-5
0.488, 7.968e-5
0.492, 7.679e-5
0.496, 7.380e-5
0.500, 7.084e-5
0.504, 6.795e-5
0.508, 6.520e-5
0.512, 6.263e-5
0.516, 6.029e-5
0.520, 5.822e-5
0.524, 5.644e-5
0.528, 5.494e-5
0.532, 5.375e-5
0.536, 5.285e-5
0.540, 5.226e-5
0.544, 5.198e-5
0.548, 5.199e-5
0.552, 5.231e-5
0.556, 5.291e-5
0.560, 5.382e-5
0.564, 5.502e-5
0.568, 5.650e-5
0.572, 5.828e-5
0.576, 6.034e-5
0.580, 6.271e-5
0.584, 6.539e-5
0.588, 6.838e-5
0.592, 7.170e-5
0.596, 7.531e-5
0.600, 7.924e-5
0.604, 8.346e-5
0.608, 8.793e-5
0.612, 9.253e-5
0.616, 9.725e-5
0.620, 1.023e-4
0.624, 1.074e-4
0.628, 1.124e-4
0.632, 1.171e-4
0.636, 1.214e-4
0.640, 1.252e-4
0.644, 1.283e-4
0.648, 1.306e-4
0.652, 1.319e-4
0.656, 1.321e-4
0.660, 1.313e-4
0.664, 1.293e-4
0.668, 1.262e-4
0.672, 1.221e-4
0.676, 1.172e-4
0.680, 1.116e-4
0.684, 1.055e-4
0.688, 9.905e-5
0.692, 9.242e-5
0.696, 8.580e-5
0.700, 7.935e-5
0.704, 7.321e-5
0.708, 6.752e-5
0.712, 6.232e-5
0.716, 5.765e-5
0.720, 5.352e-5
0.724, 4.985e-5
0.728, 4.662e-5
0.732, 4.374e-5
0.736, 4.117e-5
0.740, 3.888e-5
0.744, 3.679e-5
0.748, 3.490e-5
0.752, 3.316e-5
0.756, 3.157e-5
0.760, 3.008e-5
0.764, 2.872e-5
0.768, 2.745e-5
0.772, 2.626e-5
0.776, 2.517e-5
0.780, 2.415e-5
0.784, 2.319e-5
0.788, 2.229e-5
0.792, 2.146e-5
0.796, 2.069e-5
0.800, 1.996e-5
0.804, 1.927e-5
0.808, 1.863e-5
0.812, 1.803e-5
0.816, 1.746e-5
0.820, 1.693e-5
0.824, 1.642e-5
0.828, 1.595e-5
0.832, 1.550e-5
0.836, 1.508e-5
0.840, 1.470e-5
0.844, 1.435e-5
0.848, 1.401e-5
0.852, 1.369e-5
0.856, 1.339e-5
0.860, 1.312e-5
0.864, 1.287e-5
0.868, 1.264e-5
0.872, 1.243e-5
0.876, 1.224e-5
0.880, 1.207e-5
0.884, 1.192e-5
0.888, 1.179e-5
0.892, 1.167e-5
0.896, 1.157e-5
0.900, 1.148e-5
