Jan. 27, 2024   16:29:34
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240127Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.648V
ip = 1.921e-5A
Ap = 1.714e-6VA

Potential/V, Current/A

0.404, 4.527e-5
0.408, 4.329e-5
0.412, 4.197e-5
0.416, 4.119e-5
0.420, 4.093e-5
0.424, 4.105e-5
0.428, 4.153e-5
0.432, 4.231e-5
0.436, 4.335e-5
0.440, 4.466e-5
0.444, 4.615e-5
0.448, 4.780e-5
0.452, 4.957e-5
0.456, 5.140e-5
0.460, 5.326e-5
0.464, 5.506e-5
0.468, 5.675e-5
0.472, 5.827e-5
0.476, 5.960e-5
0.480, 6.066e-5
0.484, 6.145e-5
0.488, 6.193e-5
0.492, 6.210e-5
0.496, 6.200e-5
0.500, 6.166e-5
0.504, 6.110e-5
0.508, 6.040e-5
0.512, 5.961e-5
0.516, 5.877e-5
0.520, 5.794e-5
0.524, 5.716e-5
0.528, 5.644e-5
0.532, 5.581e-5
0.536, 5.527e-5
0.540, 5.486e-5
0.544, 5.452e-5
0.548, 5.429e-5
0.552, 5.414e-5
0.556, 5.407e-5
0.560, 5.406e-5
0.564, 5.409e-5
0.568, 5.416e-5
0.572, 5.425e-5
0.576, 5.436e-5
0.580, 5.449e-5
0.584, 5.464e-5
0.588, 5.482e-5
0.592, 5.504e-5
0.596, 5.530e-5
0.600, 5.564e-5
0.604, 5.606e-5
0.608, 5.654e-5
0.612, 5.712e-5
0.616, 5.778e-5
0.620, 5.849e-5
0.624, 5.924e-5
0.628, 6.000e-5
0.632, 6.070e-5
0.636, 6.133e-5
0.640, 6.184e-5
0.644, 6.218e-5
0.648, 6.230e-5
0.652, 6.219e-5
0.656, 6.179e-5
0.660, 6.111e-5
0.664, 6.016e-5
0.668, 5.895e-5
0.672, 5.753e-5
0.676, 5.594e-5
0.680, 5.424e-5
0.684, 5.245e-5
0.688, 5.063e-5
0.692, 4.881e-5
0.696, 4.700e-5
0.700, 4.524e-5
0.704, 4.352e-5
0.708, 4.186e-5
0.712, 4.024e-5
0.716, 3.870e-5
0.720, 3.721e-5
0.724, 3.578e-5
0.728, 3.440e-5
0.732, 3.308e-5
0.736, 3.181e-5
0.740, 3.060e-5
0.744, 2.944e-5
0.748, 2.833e-5
0.752, 2.728e-5
0.756, 2.627e-5
0.760, 2.531e-5
0.764, 2.440e-5
0.768, 2.353e-5
0.772, 2.271e-5
0.776, 2.195e-5
0.780, 2.121e-5
0.784, 2.052e-5
0.788, 1.986e-5
0.792, 1.923e-5
0.796, 1.863e-5
0.800, 1.806e-5
0.804, 1.753e-5
0.808, 1.703e-5
0.812, 1.655e-5
0.816, 1.610e-5
0.820, 1.568e-5
0.824, 1.528e-5
0.828, 1.490e-5
0.832, 1.456e-5
0.836, 1.423e-5
0.840, 1.392e-5
0.844, 1.363e-5
0.848, 1.336e-5
0.852, 1.312e-5
0.856, 1.289e-5
0.860, 1.268e-5
0.864, 1.248e-5
0.868, 1.231e-5
0.872, 1.215e-5
0.876, 1.200e-5
0.880, 1.188e-5
0.884, 1.176e-5
0.888, 1.166e-5
0.892, 1.157e-5
0.896, 1.149e-5
0.900, 1.143e-5
