Jan. 31, 2024   15:52:36
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240131Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.652V
ip = 7.511e-5A
Ap = 7.257e-6VA

Potential/V, Current/A

0.404, 5.694e-5
0.408, 5.624e-5
0.412, 5.627e-5
0.416, 5.700e-5
0.420, 5.828e-5
0.424, 6.007e-5
0.428, 6.224e-5
0.432, 6.474e-5
0.436, 6.747e-5
0.440, 7.036e-5
0.444, 7.326e-5
0.448, 7.611e-5
0.452, 7.879e-5
0.456, 8.119e-5
0.460, 8.319e-5
0.464, 8.475e-5
0.468, 8.581e-5
0.472, 8.627e-5
0.476, 8.617e-5
0.480, 8.553e-5
0.484, 8.440e-5
0.488, 8.283e-5
0.492, 8.093e-5
0.496, 7.877e-5
0.500, 7.648e-5
0.504, 7.414e-5
0.508, 7.186e-5
0.512, 6.967e-5
0.516, 6.769e-5
0.520, 6.592e-5
0.524, 6.442e-5
0.528, 6.322e-5
0.532, 6.232e-5
0.536, 6.173e-5
0.540, 6.144e-5
0.544, 6.144e-5
0.548, 6.176e-5
0.552, 6.236e-5
0.556, 6.321e-5
0.560, 6.431e-5
0.564, 6.563e-5
0.568, 6.716e-5
0.572, 6.888e-5
0.576, 7.078e-5
0.580, 7.286e-5
0.584, 7.508e-5
0.588, 7.746e-5
0.592, 8.002e-5
0.596, 8.275e-5
0.600, 8.565e-5
0.604, 8.872e-5
0.608, 9.195e-5
0.612, 9.532e-5
0.616, 9.881e-5
0.620, 1.023e-4
0.624, 1.059e-4
0.628, 1.093e-4
0.632, 1.125e-4
0.636, 1.154e-4
0.640, 1.178e-4
0.644, 1.197e-4
0.648, 1.208e-4
0.652, 1.210e-4
0.656, 1.203e-4
0.660, 1.185e-4
0.664, 1.158e-4
0.668, 1.121e-4
0.672, 1.076e-4
0.676, 1.025e-4
0.680, 9.714e-5
0.684, 9.159e-5
0.688, 8.609e-5
0.692, 8.083e-5
0.696, 7.585e-5
0.700, 7.124e-5
0.704, 6.697e-5
0.708, 6.307e-5
0.712, 5.948e-5
0.716, 5.618e-5
0.720, 5.312e-5
0.724, 5.029e-5
0.728, 4.765e-5
0.732, 4.520e-5
0.736, 4.289e-5
0.740, 4.074e-5
0.744, 3.871e-5
0.748, 3.682e-5
0.752, 3.503e-5
0.756, 3.336e-5
0.760, 3.179e-5
0.764, 3.033e-5
0.768, 2.895e-5
0.772, 2.766e-5
0.776, 2.646e-5
0.780, 2.533e-5
0.784, 2.426e-5
0.788, 2.326e-5
0.792, 2.232e-5
0.796, 2.145e-5
0.800, 2.063e-5
0.804, 1.986e-5
0.808, 1.914e-5
0.812, 1.847e-5
0.816, 1.783e-5
0.820, 1.724e-5
0.824, 1.667e-5
0.828, 1.615e-5
0.832, 1.567e-5
0.836, 1.522e-5
0.840, 1.479e-5
0.844, 1.440e-5
0.848, 1.404e-5
0.852, 1.369e-5
0.856, 1.337e-5
0.860, 1.307e-5
0.864, 1.280e-5
0.868, 1.255e-5
0.872, 1.232e-5
0.876, 1.210e-5
0.880, 1.191e-5
0.884, 1.174e-5
0.888, 1.158e-5
0.892, 1.145e-5
0.896, 1.133e-5
0.900, 1.122e-5
