Feb. 1, 2024   10:16:59
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240201Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.644V
ip = 2.159e-5A
Ap = 1.944e-6VA

Potential/V, Current/A

0.404, 4.213e-5
0.408, 4.047e-5
0.412, 3.937e-5
0.416, 3.878e-5
0.420, 3.863e-5
0.424, 3.887e-5
0.428, 3.943e-5
0.432, 4.026e-5
0.436, 4.133e-5
0.440, 4.262e-5
0.444, 4.408e-5
0.448, 4.564e-5
0.452, 4.730e-5
0.456, 4.896e-5
0.460, 5.062e-5
0.464, 5.220e-5
0.468, 5.362e-5
0.472, 5.486e-5
0.476, 5.588e-5
0.480, 5.664e-5
0.484, 5.715e-5
0.488, 5.738e-5
0.492, 5.736e-5
0.496, 5.709e-5
0.500, 5.663e-5
0.504, 5.600e-5
0.508, 5.527e-5
0.512, 5.445e-5
0.516, 5.361e-5
0.520, 5.280e-5
0.524, 5.202e-5
0.528, 5.133e-5
0.532, 5.072e-5
0.536, 5.020e-5
0.540, 4.980e-5
0.544, 4.949e-5
0.548, 4.928e-5
0.552, 4.915e-5
0.556, 4.908e-5
0.560, 4.907e-5
0.564, 4.912e-5
0.568, 4.921e-5
0.572, 4.933e-5
0.576, 4.949e-5
0.580, 4.970e-5
0.584, 4.996e-5
0.588, 5.029e-5
0.592, 5.069e-5
0.596, 5.119e-5
0.600, 5.178e-5
0.604, 5.249e-5
0.608, 5.330e-5
0.612, 5.421e-5
0.616, 5.518e-5
0.620, 5.619e-5
0.624, 5.722e-5
0.628, 5.820e-5
0.632, 5.910e-5
0.636, 5.985e-5
0.640, 6.038e-5
0.644, 6.066e-5
0.648, 6.064e-5
0.652, 6.028e-5
0.656, 5.959e-5
0.660, 5.859e-5
0.664, 5.727e-5
0.668, 5.576e-5
0.672, 5.408e-5
0.676, 5.232e-5
0.680, 5.051e-5
0.684, 4.870e-5
0.688, 4.692e-5
0.692, 4.517e-5
0.696, 4.347e-5
0.700, 4.183e-5
0.704, 4.024e-5
0.708, 3.871e-5
0.712, 3.721e-5
0.716, 3.576e-5
0.720, 3.437e-5
0.724, 3.302e-5
0.728, 3.171e-5
0.732, 3.046e-5
0.736, 2.925e-5
0.740, 2.809e-5
0.744, 2.697e-5
0.748, 2.591e-5
0.752, 2.490e-5
0.756, 2.393e-5
0.760, 2.301e-5
0.764, 2.213e-5
0.768, 2.129e-5
0.772, 2.050e-5
0.776, 1.975e-5
0.780, 1.904e-5
0.784, 1.836e-5
0.788, 1.773e-5
0.792, 1.712e-5
0.796, 1.655e-5
0.800, 1.601e-5
0.804, 1.551e-5
0.808, 1.503e-5
0.812, 1.458e-5
0.816, 1.416e-5
0.820, 1.376e-5
0.824, 1.337e-5
0.828, 1.302e-5
0.832, 1.269e-5
0.836, 1.238e-5
0.840, 1.209e-5
0.844, 1.183e-5
0.848, 1.158e-5
0.852, 1.135e-5
0.856, 1.114e-5
0.860, 1.095e-5
0.864, 1.077e-5
0.868, 1.061e-5
0.872, 1.046e-5
0.876, 1.033e-5
0.880, 1.021e-5
0.884, 1.011e-5
0.888, 1.002e-5
0.892, 9.943e-6
0.896, 9.874e-6
0.900, 9.815e-6
