Feb. 1, 2024   14:50:14
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240201Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:

Potential/V, Current/A

0.404, 5.696e-5
0.408, 5.405e-5
0.412, 5.212e-5
0.416, 5.104e-5
0.420, 5.069e-5
0.424, 5.097e-5
0.428, 5.179e-5
0.432, 5.316e-5
0.436, 5.500e-5
0.440, 5.726e-5
0.444, 5.991e-5
0.448, 6.290e-5
0.452, 6.614e-5
0.456, 6.960e-5
0.460, 7.320e-5
0.464, 7.679e-5
0.468, 8.036e-5
0.472, 8.375e-5
0.476, 8.685e-5
0.480, 8.957e-5
0.484, 9.182e-5
0.488, 9.353e-5
0.492, 9.463e-5
0.496, 9.513e-5
0.500, 9.512e-5
0.504, 9.462e-5
0.508, 9.379e-5
0.512, 9.269e-5
0.516, 9.149e-5
0.520, 9.025e-5
0.524, 8.911e-5
0.528, 8.810e-5
0.532, 8.728e-5
0.536, 8.667e-5
0.540, 8.628e-5
0.544, 8.611e-5
0.548, 8.618e-5
0.552, 8.643e-5
0.556, 8.685e-5
0.560, 8.744e-5
0.564, 8.814e-5
0.568, 8.894e-5
0.572, 8.978e-5
0.576, 9.064e-5
0.580, 9.152e-5
0.584, 9.234e-5
0.588, 9.312e-5
0.592, 9.381e-5
0.596, 9.445e-5
0.600, 9.500e-5
0.604, 9.549e-5
0.608, 9.595e-5
0.612, 9.638e-5
0.616, 9.680e-5
0.620, 9.725e-5
0.624, 9.773e-5
0.628, 9.823e-5
0.632, 9.874e-5
0.636, 9.923e-5
0.640, 9.968e-5
0.644, 1.000e-4
0.648, 1.002e-4
0.652, 1.002e-4
0.656, 1.001e-4
0.660, 9.959e-5
0.664, 9.885e-5
0.668, 9.781e-5
0.672, 9.644e-5
0.676, 9.475e-5
0.680, 9.280e-5
0.684, 9.059e-5
0.688, 8.820e-5
0.692, 8.568e-5
0.696, 8.308e-5
0.700, 8.043e-5
0.704, 7.778e-5
0.708, 7.514e-5
0.712, 7.255e-5
0.716, 7.000e-5
0.720, 6.750e-5
0.724, 6.507e-5
0.728, 6.268e-5
0.732, 6.036e-5
0.736, 5.810e-5
0.740, 5.590e-5
0.744, 5.377e-5
0.748, 5.172e-5
0.752, 4.972e-5
0.756, 4.781e-5
0.760, 4.597e-5
0.764, 4.419e-5
0.768, 4.249e-5
0.772, 4.086e-5
0.776, 3.932e-5
0.780, 3.783e-5
0.784, 3.641e-5
0.788, 3.508e-5
0.792, 3.379e-5
0.796, 3.259e-5
0.800, 3.144e-5
0.804, 3.034e-5
0.808, 2.930e-5
0.812, 2.832e-5
0.816, 2.739e-5
0.820, 2.652e-5
0.824, 2.567e-5
0.828, 2.489e-5
0.832, 2.416e-5
0.836, 2.347e-5
0.840, 2.282e-5
0.844, 2.221e-5
0.848, 2.164e-5
0.852, 2.110e-5
0.856, 2.060e-5
0.860, 2.014e-5
0.864, 1.971e-5
0.868, 1.931e-5
0.872, 1.894e-5
0.876, 1.859e-5
0.880, 1.827e-5
0.884, 1.798e-5
0.888, 1.770e-5
0.892, 1.746e-5
0.896, 1.723e-5
0.900, 1.702e-5
