Jan. 31, 2024   11:06:25
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240131Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.652V
ip = 4.254e-5A
Ap = 4.527e-6VA

Potential/V, Current/A

0.404, 4.829e-5
0.408, 4.667e-5
0.412, 4.571e-5
0.416, 4.530e-5
0.420, 4.541e-5
0.424, 4.595e-5
0.428, 4.686e-5
0.432, 4.809e-5
0.436, 4.963e-5
0.440, 5.139e-5
0.444, 5.335e-5
0.448, 5.544e-5
0.452, 5.761e-5
0.456, 5.977e-5
0.460, 6.188e-5
0.464, 6.383e-5
0.468, 6.561e-5
0.472, 6.709e-5
0.476, 6.824e-5
0.480, 6.903e-5
0.484, 6.945e-5
0.488, 6.950e-5
0.492, 6.920e-5
0.496, 6.859e-5
0.500, 6.773e-5
0.504, 6.668e-5
0.508, 6.553e-5
0.512, 6.432e-5
0.516, 6.312e-5
0.520, 6.198e-5
0.524, 6.099e-5
0.528, 6.014e-5
0.532, 5.945e-5
0.536, 5.897e-5
0.540, 5.868e-5
0.544, 5.859e-5
0.548, 5.869e-5
0.552, 5.898e-5
0.556, 5.943e-5
0.560, 6.003e-5
0.564, 6.076e-5
0.568, 6.160e-5
0.572, 6.252e-5
0.576, 6.352e-5
0.580, 6.460e-5
0.584, 6.572e-5
0.588, 6.691e-5
0.592, 6.815e-5
0.596, 6.945e-5
0.600, 7.080e-5
0.604, 7.224e-5
0.608, 7.371e-5
0.612, 7.526e-5
0.616, 7.687e-5
0.620, 7.849e-5
0.624, 8.014e-5
0.628, 8.172e-5
0.632, 8.322e-5
0.636, 8.455e-5
0.640, 8.569e-5
0.644, 8.655e-5
0.648, 8.710e-5
0.652, 8.723e-5
0.656, 8.693e-5
0.660, 8.615e-5
0.664, 8.490e-5
0.668, 8.322e-5
0.672, 8.114e-5
0.676, 7.875e-5
0.680, 7.613e-5
0.684, 7.334e-5
0.688, 7.051e-5
0.692, 6.767e-5
0.696, 6.488e-5
0.700, 6.216e-5
0.704, 5.952e-5
0.708, 5.699e-5
0.712, 5.455e-5
0.716, 5.222e-5
0.720, 4.997e-5
0.724, 4.782e-5
0.728, 4.576e-5
0.732, 4.380e-5
0.736, 4.190e-5
0.740, 4.010e-5
0.744, 3.837e-5
0.748, 3.672e-5
0.752, 3.516e-5
0.756, 3.367e-5
0.760, 3.226e-5
0.764, 3.092e-5
0.768, 2.966e-5
0.772, 2.846e-5
0.776, 2.733e-5
0.780, 2.626e-5
0.784, 2.525e-5
0.788, 2.429e-5
0.792, 2.338e-5
0.796, 2.253e-5
0.800, 2.172e-5
0.804, 2.097e-5
0.808, 2.025e-5
0.812, 1.958e-5
0.816, 1.894e-5
0.820, 1.835e-5
0.824, 1.777e-5
0.828, 1.725e-5
0.832, 1.675e-5
0.836, 1.628e-5
0.840, 1.585e-5
0.844, 1.544e-5
0.848, 1.507e-5
0.852, 1.471e-5
0.856, 1.438e-5
0.860, 1.407e-5
0.864, 1.379e-5
0.868, 1.352e-5
0.872, 1.328e-5
0.876, 1.306e-5
0.880, 1.286e-5
0.884, 1.268e-5
0.888, 1.252e-5
0.892, 1.237e-5
0.896, 1.224e-5
0.900, 1.213e-5
