Jan. 31, 2024   10:15:01
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240131Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:

Potential/V, Current/A

0.404, 5.341e-5
0.408, 5.115e-5
0.412, 4.974e-5
0.416, 4.914e-5
0.420, 4.916e-5
0.424, 4.979e-5
0.428, 5.092e-5
0.432, 5.259e-5
0.436, 5.472e-5
0.440, 5.725e-5
0.444, 6.015e-5
0.448, 6.338e-5
0.452, 6.683e-5
0.456, 7.044e-5
0.460, 7.413e-5
0.464, 7.773e-5
0.468, 8.119e-5
0.472, 8.433e-5
0.476, 8.704e-5
0.480, 8.922e-5
0.484, 9.080e-5
0.488, 9.171e-5
0.492, 9.198e-5
0.496, 9.163e-5
0.500, 9.078e-5
0.504, 8.951e-5
0.508, 8.797e-5
0.512, 8.629e-5
0.516, 8.458e-5
0.520, 8.295e-5
0.524, 8.146e-5
0.528, 8.019e-5
0.532, 7.917e-5
0.536, 7.842e-5
0.540, 7.797e-5
0.544, 7.781e-5
0.548, 7.796e-5
0.552, 7.838e-5
0.556, 7.908e-5
0.560, 8.002e-5
0.564, 8.120e-5
0.568, 8.257e-5
0.572, 8.409e-5
0.576, 8.575e-5
0.580, 8.749e-5
0.584, 8.929e-5
0.588, 9.112e-5
0.592, 9.294e-5
0.596, 9.476e-5
0.600, 9.654e-5
0.604, 9.827e-5
0.608, 9.999e-5
0.612, 1.017e-4
0.616, 1.033e-4
0.620, 1.048e-4
0.624, 1.063e-4
0.628, 1.076e-4
0.632, 1.089e-4
0.636, 1.100e-4
0.640, 1.109e-4
0.644, 1.116e-4
0.648, 1.120e-4
0.652, 1.120e-4
0.656, 1.117e-4
0.660, 1.110e-4
0.664, 1.099e-4
0.668, 1.084e-4
0.672, 1.065e-4
0.676, 1.042e-4
0.680, 1.016e-4
0.684, 9.869e-5
0.688, 9.562e-5
0.692, 9.245e-5
0.696, 8.922e-5
0.700, 8.600e-5
0.704, 8.281e-5
0.708, 7.969e-5
0.712, 7.664e-5
0.716, 7.369e-5
0.720, 7.084e-5
0.724, 6.808e-5
0.728, 6.542e-5
0.732, 6.287e-5
0.736, 6.039e-5
0.740, 5.801e-5
0.744, 5.572e-5
0.748, 5.351e-5
0.752, 5.137e-5
0.756, 4.935e-5
0.760, 4.739e-5
0.764, 4.553e-5
0.768, 4.374e-5
0.772, 4.203e-5
0.776, 4.043e-5
0.780, 3.889e-5
0.784, 3.742e-5
0.788, 3.603e-5
0.792, 3.471e-5
0.796, 3.347e-5
0.800, 3.229e-5
0.804, 3.118e-5
0.808, 3.012e-5
0.812, 2.912e-5
0.816, 2.817e-5
0.820, 2.729e-5
0.824, 2.643e-5
0.828, 2.564e-5
0.832, 2.490e-5
0.836, 2.421e-5
0.840, 2.355e-5
0.844, 2.293e-5
0.848, 2.236e-5
0.852, 2.182e-5
0.856, 2.132e-5
0.860, 2.085e-5
0.864, 2.042e-5
0.868, 2.002e-5
0.872, 1.965e-5
0.876, 1.931e-5
0.880, 1.900e-5
0.884, 1.871e-5
0.888, 1.844e-5
0.892, 1.821e-5
0.896, 1.799e-5
0.900, 1.779e-5
