Jan. 30, 2024   20:34:58
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240130Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.660V
ip = 4.941e-5A
Ap = 5.085e-6VA

Potential/V, Current/A

0.404, 6.357e-5
0.408, 6.149e-5
0.412, 6.023e-5
0.416, 5.971e-5
0.420, 5.979e-5
0.424, 6.039e-5
0.428, 6.138e-5
0.432, 6.274e-5
0.436, 6.440e-5
0.440, 6.626e-5
0.444, 6.831e-5
0.448, 7.043e-5
0.452, 7.257e-5
0.456, 7.465e-5
0.460, 7.662e-5
0.464, 7.837e-5
0.468, 7.987e-5
0.472, 8.104e-5
0.476, 8.185e-5
0.480, 8.225e-5
0.484, 8.228e-5
0.488, 8.193e-5
0.492, 8.122e-5
0.496, 8.022e-5
0.500, 7.899e-5
0.504, 7.759e-5
0.508, 7.609e-5
0.512, 7.458e-5
0.516, 7.309e-5
0.520, 7.171e-5
0.524, 7.047e-5
0.528, 6.939e-5
0.532, 6.848e-5
0.536, 6.776e-5
0.540, 6.724e-5
0.544, 6.688e-5
0.548, 6.672e-5
0.552, 6.672e-5
0.556, 6.686e-5
0.560, 6.714e-5
0.564, 6.755e-5
0.568, 6.806e-5
0.572, 6.868e-5
0.576, 6.938e-5
0.580, 7.016e-5
0.584, 7.102e-5
0.588, 7.200e-5
0.592, 7.307e-5
0.596, 7.426e-5
0.600, 7.556e-5
0.604, 7.701e-5
0.608, 7.860e-5
0.612, 8.034e-5
0.616, 8.222e-5
0.620, 8.420e-5
0.624, 8.627e-5
0.628, 8.840e-5
0.632, 9.052e-5
0.636, 9.257e-5
0.640, 9.448e-5
0.644, 9.621e-5
0.648, 9.766e-5
0.652, 9.878e-5
0.656, 9.948e-5
0.660, 9.969e-5
0.664, 9.938e-5
0.668, 9.854e-5
0.672, 9.717e-5
0.676, 9.526e-5
0.680, 9.289e-5
0.684, 9.014e-5
0.688, 8.707e-5
0.692, 8.380e-5
0.696, 8.040e-5
0.700, 7.694e-5
0.704, 7.350e-5
0.708, 7.013e-5
0.712, 6.686e-5
0.716, 6.371e-5
0.720, 6.070e-5
0.724, 5.784e-5
0.728, 5.512e-5
0.732, 5.254e-5
0.736, 5.010e-5
0.740, 4.780e-5
0.744, 4.562e-5
0.748, 4.355e-5
0.752, 4.159e-5
0.756, 3.974e-5
0.760, 3.798e-5
0.764, 3.633e-5
0.768, 3.475e-5
0.772, 3.327e-5
0.776, 3.189e-5
0.780, 3.058e-5
0.784, 2.934e-5
0.788, 2.817e-5
0.792, 2.706e-5
0.796, 2.603e-5
0.800, 2.506e-5
0.804, 2.414e-5
0.808, 2.328e-5
0.812, 2.248e-5
0.816, 2.172e-5
0.820, 2.101e-5
0.824, 2.033e-5
0.828, 1.971e-5
0.832, 1.912e-5
0.836, 1.858e-5
0.840, 1.807e-5
0.844, 1.760e-5
0.848, 1.716e-5
0.852, 1.674e-5
0.856, 1.636e-5
0.860, 1.600e-5
0.864, 1.567e-5
0.868, 1.537e-5
0.872, 1.509e-5
0.876, 1.483e-5
0.880, 1.460e-5
0.884, 1.439e-5
0.888, 1.419e-5
0.892, 1.402e-5
0.896, 1.387e-5
0.900, 1.373e-5
