Jan. 15, 2024   15:46:56
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240115Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.644V
ip = 3.533e-5A
Ap = 2.900e-6VA

Potential/V, Current/A

0.404, 4.700e-5
0.408, 4.588e-5
0.412, 4.527e-5
0.416, 4.519e-5
0.420, 4.552e-5
0.424, 4.622e-5
0.428, 4.725e-5
0.432, 4.857e-5
0.436, 5.015e-5
0.440, 5.193e-5
0.444, 5.384e-5
0.448, 5.583e-5
0.452, 5.781e-5
0.456, 5.975e-5
0.460, 6.154e-5
0.464, 6.314e-5
0.468, 6.450e-5
0.472, 6.558e-5
0.476, 6.634e-5
0.480, 6.679e-5
0.484, 6.694e-5
0.488, 6.681e-5
0.492, 6.643e-5
0.496, 6.584e-5
0.500, 6.511e-5
0.504, 6.424e-5
0.508, 6.330e-5
0.512, 6.231e-5
0.516, 6.135e-5
0.520, 6.041e-5
0.524, 5.953e-5
0.528, 5.875e-5
0.532, 5.807e-5
0.536, 5.748e-5
0.540, 5.701e-5
0.544, 5.666e-5
0.548, 5.643e-5
0.552, 5.631e-5
0.556, 5.631e-5
0.560, 5.641e-5
0.564, 5.661e-5
0.568, 5.692e-5
0.572, 5.732e-5
0.576, 5.782e-5
0.580, 5.845e-5
0.584, 5.918e-5
0.588, 6.005e-5
0.592, 6.107e-5
0.596, 6.227e-5
0.600, 6.363e-5
0.604, 6.518e-5
0.608, 6.689e-5
0.612, 6.875e-5
0.616, 7.073e-5
0.620, 7.276e-5
0.624, 7.477e-5
0.628, 7.669e-5
0.632, 7.839e-5
0.636, 7.978e-5
0.640, 8.074e-5
0.644, 8.115e-5
0.648, 8.096e-5
0.652, 8.010e-5
0.656, 7.857e-5
0.660, 7.647e-5
0.664, 7.385e-5
0.668, 7.094e-5
0.672, 6.786e-5
0.676, 6.478e-5
0.680, 6.179e-5
0.684, 5.896e-5
0.688, 5.634e-5
0.692, 5.392e-5
0.696, 5.171e-5
0.700, 4.967e-5
0.704, 4.778e-5
0.708, 4.604e-5
0.712, 4.438e-5
0.716, 4.282e-5
0.720, 4.133e-5
0.724, 3.991e-5
0.728, 3.854e-5
0.732, 3.723e-5
0.736, 3.596e-5
0.740, 3.473e-5
0.744, 3.355e-5
0.748, 3.241e-5
0.752, 3.133e-5
0.756, 3.029e-5
0.760, 2.929e-5
0.764, 2.835e-5
0.768, 2.745e-5
0.772, 2.659e-5
0.776, 2.580e-5
0.780, 2.504e-5
0.784, 2.433e-5
0.788, 2.367e-5
0.792, 2.304e-5
0.796, 2.245e-5
0.800, 2.191e-5
0.804, 2.140e-5
0.808, 2.093e-5
0.812, 2.048e-5
0.816, 2.007e-5
0.820, 1.970e-5
0.824, 1.933e-5
0.828, 1.901e-5
0.832, 1.870e-5
0.836, 1.843e-5
0.840, 1.818e-5
0.844, 1.795e-5
0.848, 1.774e-5
0.852, 1.755e-5
0.856, 1.739e-5
0.860, 1.724e-5
0.864, 1.711e-5
0.868, 1.701e-5
0.872, 1.692e-5
0.876, 1.685e-5
0.880, 1.680e-5
0.884, 1.677e-5
0.888, 1.676e-5
0.892, 1.675e-5
0.896, 1.677e-5
0.900, 1.679e-5
