Jan. 15, 2024   14:49:56
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240115Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.668V
ip = 4.546e-5A
Ap = 4.765e-6VA

Potential/V, Current/A

0.404, 4.933e-5
0.408, 4.760e-5
0.412, 4.645e-5
0.416, 4.585e-5
0.420, 4.568e-5
0.424, 4.591e-5
0.428, 4.649e-5
0.432, 4.739e-5
0.436, 4.858e-5
0.440, 4.999e-5
0.444, 5.161e-5
0.448, 5.339e-5
0.452, 5.526e-5
0.456, 5.719e-5
0.460, 5.911e-5
0.464, 6.096e-5
0.468, 6.271e-5
0.472, 6.427e-5
0.476, 6.567e-5
0.480, 6.684e-5
0.484, 6.780e-5
0.488, 6.851e-5
0.492, 6.899e-5
0.496, 6.926e-5
0.500, 6.931e-5
0.504, 6.917e-5
0.508, 6.885e-5
0.512, 6.836e-5
0.516, 6.773e-5
0.520, 6.700e-5
0.524, 6.622e-5
0.528, 6.539e-5
0.532, 6.457e-5
0.536, 6.375e-5
0.540, 6.299e-5
0.544, 6.228e-5
0.548, 6.166e-5
0.552, 6.115e-5
0.556, 6.074e-5
0.560, 6.044e-5
0.564, 6.025e-5
0.568, 6.019e-5
0.572, 6.024e-5
0.576, 6.043e-5
0.580, 6.076e-5
0.584, 6.123e-5
0.588, 6.185e-5
0.592, 6.262e-5
0.596, 6.355e-5
0.600, 6.465e-5
0.604, 6.592e-5
0.608, 6.737e-5
0.612, 6.898e-5
0.616, 7.077e-5
0.620, 7.269e-5
0.624, 7.475e-5
0.628, 7.694e-5
0.632, 7.916e-5
0.636, 8.140e-5
0.640, 8.364e-5
0.644, 8.579e-5
0.648, 8.781e-5
0.652, 8.963e-5
0.656, 9.119e-5
0.660, 9.244e-5
0.664, 9.331e-5
0.668, 9.374e-5
0.672, 9.370e-5
0.676, 9.318e-5
0.680, 9.216e-5
0.684, 9.067e-5
0.688, 8.873e-5
0.692, 8.642e-5
0.696, 8.381e-5
0.700, 8.095e-5
0.704, 7.798e-5
0.708, 7.497e-5
0.712, 7.199e-5
0.716, 6.911e-5
0.720, 6.638e-5
0.724, 6.381e-5
0.728, 6.139e-5
0.732, 5.913e-5
0.736, 5.700e-5
0.740, 5.499e-5
0.744, 5.307e-5
0.748, 5.124e-5
0.752, 4.946e-5
0.756, 4.776e-5
0.760, 4.611e-5
0.764, 4.450e-5
0.768, 4.295e-5
0.772, 4.145e-5
0.776, 4.002e-5
0.780, 3.863e-5
0.784, 3.730e-5
0.788, 3.603e-5
0.792, 3.482e-5
0.796, 3.368e-5
0.800, 3.259e-5
0.804, 3.156e-5
0.808, 3.059e-5
0.812, 2.968e-5
0.816, 2.882e-5
0.820, 2.802e-5
0.824, 2.726e-5
0.828, 2.656e-5
0.832, 2.592e-5
0.836, 2.532e-5
0.840, 2.476e-5
0.844, 2.424e-5
0.848, 2.377e-5
0.852, 2.334e-5
0.856, 2.293e-5
0.860, 2.257e-5
0.864, 2.225e-5
0.868, 2.195e-5
0.872, 2.169e-5
0.876, 2.146e-5
0.880, 2.126e-5
0.884, 2.108e-5
0.888, 2.094e-5
0.892, 2.081e-5
0.896, 2.071e-5
0.900, 2.064e-5
