Jan. 12, 2024   16:17:49
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240112Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.656V
ip = 4.119e-5A
Ap = 3.578e-6VA

Potential/V, Current/A

0.404, 4.362e-5
0.408, 4.167e-5
0.412, 4.034e-5
0.416, 3.954e-5
0.420, 3.922e-5
0.424, 3.932e-5
0.428, 3.978e-5
0.432, 4.058e-5
0.436, 4.171e-5
0.440, 4.317e-5
0.444, 4.493e-5
0.448, 4.697e-5
0.452, 4.925e-5
0.456, 5.175e-5
0.460, 5.444e-5
0.464, 5.722e-5
0.468, 6.002e-5
0.472, 6.274e-5
0.476, 6.533e-5
0.480, 6.763e-5
0.484, 6.954e-5
0.488, 7.102e-5
0.492, 7.196e-5
0.496, 7.235e-5
0.500, 7.222e-5
0.504, 7.156e-5
0.508, 7.047e-5
0.512, 6.901e-5
0.516, 6.727e-5
0.520, 6.539e-5
0.524, 6.342e-5
0.528, 6.147e-5
0.532, 5.961e-5
0.536, 5.786e-5
0.540, 5.629e-5
0.544, 5.490e-5
0.548, 5.373e-5
0.552, 5.278e-5
0.556, 5.206e-5
0.560, 5.154e-5
0.564, 5.123e-5
0.568, 5.112e-5
0.572, 5.121e-5
0.576, 5.147e-5
0.580, 5.192e-5
0.584, 5.255e-5
0.588, 5.338e-5
0.592, 5.439e-5
0.596, 5.561e-5
0.600, 5.706e-5
0.604, 5.872e-5
0.608, 6.061e-5
0.612, 6.271e-5
0.616, 6.501e-5
0.620, 6.745e-5
0.624, 6.997e-5
0.628, 7.250e-5
0.632, 7.496e-5
0.636, 7.722e-5
0.640, 7.923e-5
0.644, 8.085e-5
0.648, 8.202e-5
0.652, 8.265e-5
0.656, 8.271e-5
0.660, 8.218e-5
0.664, 8.109e-5
0.668, 7.946e-5
0.672, 7.741e-5
0.676, 7.499e-5
0.680, 7.230e-5
0.684, 6.940e-5
0.688, 6.642e-5
0.692, 6.340e-5
0.696, 6.041e-5
0.700, 5.750e-5
0.704, 5.470e-5
0.708, 5.205e-5
0.712, 4.955e-5
0.716, 4.719e-5
0.720, 4.498e-5
0.724, 4.289e-5
0.728, 4.095e-5
0.732, 3.913e-5
0.736, 3.741e-5
0.740, 3.581e-5
0.744, 3.431e-5
0.748, 3.291e-5
0.752, 3.160e-5
0.756, 3.035e-5
0.760, 2.918e-5
0.764, 2.810e-5
0.768, 2.707e-5
0.772, 2.611e-5
0.776, 2.523e-5
0.780, 2.439e-5
0.784, 2.360e-5
0.788, 2.286e-5
0.792, 2.216e-5
0.796, 2.151e-5
0.800, 2.090e-5
0.804, 2.032e-5
0.808, 1.978e-5
0.812, 1.927e-5
0.816, 1.880e-5
0.820, 1.835e-5
0.824, 1.792e-5
0.828, 1.753e-5
0.832, 1.715e-5
0.836, 1.681e-5
0.840, 1.648e-5
0.844, 1.618e-5
0.848, 1.589e-5
0.852, 1.562e-5
0.856, 1.537e-5
0.860, 1.514e-5
0.864, 1.492e-5
0.868, 1.473e-5
0.872, 1.455e-5
0.876, 1.439e-5
0.880, 1.425e-5
0.884, 1.412e-5
0.888, 1.401e-5
0.892, 1.392e-5
0.896, 1.383e-5
0.900, 1.377e-5
