Jan. 26, 2024   15:21:52
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240126Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.652V
ip = 1.159e-4A
Ap = 1.057e-5VA

Potential/V, Current/A

0.404, 8.068e-5
0.408, 8.141e-5
0.412, 8.292e-5
0.416, 8.513e-5
0.420, 8.792e-5
0.424, 9.113e-5
0.428, 9.456e-5
0.432, 9.814e-5
0.436, 1.016e-4
0.440, 1.049e-4
0.444, 1.079e-4
0.448, 1.104e-4
0.452, 1.122e-4
0.456, 1.134e-4
0.460, 1.138e-4
0.464, 1.134e-4
0.468, 1.123e-4
0.472, 1.106e-4
0.476, 1.083e-4
0.480, 1.054e-4
0.484, 1.023e-4
0.488, 9.892e-5
0.492, 9.547e-5
0.496, 9.202e-5
0.500, 8.869e-5
0.504, 8.557e-5
0.508, 8.272e-5
0.512, 8.017e-5
0.516, 7.797e-5
0.520, 7.608e-5
0.524, 7.456e-5
0.528, 7.337e-5
0.532, 7.254e-5
0.536, 7.205e-5
0.540, 7.191e-5
0.544, 7.212e-5
0.548, 7.267e-5
0.552, 7.358e-5
0.556, 7.481e-5
0.560, 7.637e-5
0.564, 7.824e-5
0.568, 8.043e-5
0.572, 8.293e-5
0.576, 8.575e-5
0.580, 8.889e-5
0.584, 9.236e-5
0.588, 9.618e-5
0.592, 1.004e-4
0.596, 1.049e-4
0.600, 1.098e-4
0.604, 1.151e-4
0.608, 1.206e-4
0.612, 1.264e-4
0.616, 1.324e-4
0.620, 1.385e-4
0.624, 1.445e-4
0.628, 1.503e-4
0.632, 1.556e-4
0.636, 1.604e-4
0.640, 1.643e-4
0.644, 1.672e-4
0.648, 1.687e-4
0.652, 1.688e-4
0.656, 1.672e-4
0.660, 1.640e-4
0.664, 1.590e-4
0.668, 1.527e-4
0.672, 1.451e-4
0.676, 1.368e-4
0.680, 1.280e-4
0.684, 1.190e-4
0.688, 1.103e-4
0.692, 1.019e-4
0.696, 9.408e-5
0.700, 8.687e-5
0.704, 8.032e-5
0.708, 7.443e-5
0.712, 6.912e-5
0.716, 6.437e-5
0.720, 6.010e-5
0.724, 5.626e-5
0.728, 5.278e-5
0.732, 4.965e-5
0.736, 4.677e-5
0.740, 4.416e-5
0.744, 4.174e-5
0.748, 3.953e-5
0.752, 3.748e-5
0.756, 3.558e-5
0.760, 3.382e-5
0.764, 3.218e-5
0.768, 3.066e-5
0.772, 2.925e-5
0.776, 2.795e-5
0.780, 2.673e-5
0.784, 2.558e-5
0.788, 2.451e-5
0.792, 2.351e-5
0.796, 2.258e-5
0.800, 2.171e-5
0.804, 2.091e-5
0.808, 2.016e-5
0.812, 1.946e-5
0.816, 1.880e-5
0.820, 1.818e-5
0.824, 1.758e-5
0.828, 1.704e-5
0.832, 1.652e-5
0.836, 1.604e-5
0.840, 1.560e-5
0.844, 1.519e-5
0.848, 1.481e-5
0.852, 1.445e-5
0.856, 1.412e-5
0.860, 1.382e-5
0.864, 1.354e-5
0.868, 1.329e-5
0.872, 1.306e-5
0.876, 1.285e-5
0.880, 1.266e-5
0.884, 1.249e-5
0.888, 1.234e-5
0.892, 1.221e-5
0.896, 1.209e-5
0.900, 1.199e-5
