Jan. 24, 2024   10:27:08
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240124Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.644V
ip = 3.270e-5A
Ap = 3.108e-6VA

Potential/V, Current/A

0.404, 4.900e-5
0.408, 4.751e-5
0.412, 4.670e-5
0.416, 4.646e-5
0.420, 4.670e-5
0.424, 4.732e-5
0.428, 4.826e-5
0.432, 4.949e-5
0.436, 5.092e-5
0.440, 5.253e-5
0.444, 5.426e-5
0.448, 5.606e-5
0.452, 5.790e-5
0.456, 5.968e-5
0.460, 6.136e-5
0.464, 6.285e-5
0.468, 6.413e-5
0.472, 6.514e-5
0.476, 6.582e-5
0.480, 6.617e-5
0.484, 6.618e-5
0.488, 6.586e-5
0.492, 6.522e-5
0.496, 6.433e-5
0.500, 6.324e-5
0.504, 6.198e-5
0.508, 6.064e-5
0.512, 5.926e-5
0.516, 5.792e-5
0.520, 5.665e-5
0.524, 5.553e-5
0.528, 5.454e-5
0.532, 5.374e-5
0.536, 5.310e-5
0.540, 5.267e-5
0.544, 5.240e-5
0.548, 5.232e-5
0.552, 5.239e-5
0.556, 5.259e-5
0.560, 5.291e-5
0.564, 5.335e-5
0.568, 5.386e-5
0.572, 5.446e-5
0.576, 5.513e-5
0.580, 5.588e-5
0.584, 5.669e-5
0.588, 5.758e-5
0.592, 5.856e-5
0.596, 5.962e-5
0.600, 6.079e-5
0.604, 6.206e-5
0.608, 6.341e-5
0.612, 6.485e-5
0.616, 6.633e-5
0.620, 6.783e-5
0.624, 6.930e-5
0.628, 7.067e-5
0.632, 7.189e-5
0.636, 7.290e-5
0.640, 7.362e-5
0.644, 7.398e-5
0.648, 7.394e-5
0.652, 7.346e-5
0.656, 7.249e-5
0.660, 7.108e-5
0.664, 6.926e-5
0.668, 6.712e-5
0.672, 6.478e-5
0.676, 6.230e-5
0.680, 5.977e-5
0.684, 5.726e-5
0.688, 5.483e-5
0.692, 5.249e-5
0.696, 5.025e-5
0.700, 4.814e-5
0.704, 4.614e-5
0.708, 4.426e-5
0.712, 4.245e-5
0.716, 4.074e-5
0.720, 3.911e-5
0.724, 3.758e-5
0.728, 3.611e-5
0.732, 3.471e-5
0.736, 3.336e-5
0.740, 3.206e-5
0.744, 3.081e-5
0.748, 2.963e-5
0.752, 2.851e-5
0.756, 2.743e-5
0.760, 2.641e-5
0.764, 2.544e-5
0.768, 2.452e-5
0.772, 2.364e-5
0.776, 2.281e-5
0.780, 2.202e-5
0.784, 2.128e-5
0.788, 2.057e-5
0.792, 1.990e-5
0.796, 1.927e-5
0.800, 1.867e-5
0.804, 1.811e-5
0.808, 1.758e-5
0.812, 1.708e-5
0.816, 1.660e-5
0.820, 1.616e-5
0.824, 1.572e-5
0.828, 1.533e-5
0.832, 1.495e-5
0.836, 1.460e-5
0.840, 1.427e-5
0.844, 1.396e-5
0.848, 1.367e-5
0.852, 1.341e-5
0.856, 1.316e-5
0.860, 1.294e-5
0.864, 1.273e-5
0.868, 1.254e-5
0.872, 1.237e-5
0.876, 1.221e-5
0.880, 1.208e-5
0.884, 1.195e-5
0.888, 1.184e-5
0.892, 1.174e-5
0.896, 1.166e-5
0.900, 1.159e-5
