Jan. 24, 2024   09:58:03
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240124Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:

Potential/V, Current/A

0.404, 4.876e-5
0.408, 4.620e-5
0.412, 4.452e-5
0.416, 4.360e-5
0.420, 4.329e-5
0.424, 4.354e-5
0.428, 4.425e-5
0.432, 4.542e-5
0.436, 4.701e-5
0.440, 4.900e-5
0.444, 5.133e-5
0.448, 5.404e-5
0.452, 5.705e-5
0.456, 6.029e-5
0.460, 6.377e-5
0.464, 6.740e-5
0.468, 7.107e-5
0.472, 7.472e-5
0.476, 7.823e-5
0.480, 8.145e-5
0.484, 8.429e-5
0.488, 8.660e-5
0.492, 8.830e-5
0.496, 8.936e-5
0.500, 8.978e-5
0.504, 8.960e-5
0.508, 8.893e-5
0.512, 8.790e-5
0.516, 8.665e-5
0.520, 8.529e-5
0.524, 8.394e-5
0.528, 8.268e-5
0.532, 8.157e-5
0.536, 8.067e-5
0.540, 8.003e-5
0.544, 7.959e-5
0.548, 7.942e-5
0.552, 7.951e-5
0.556, 7.978e-5
0.560, 8.025e-5
0.564, 8.090e-5
0.568, 8.167e-5
0.572, 8.254e-5
0.576, 8.348e-5
0.580, 8.446e-5
0.584, 8.542e-5
0.588, 8.635e-5
0.592, 8.722e-5
0.596, 8.802e-5
0.600, 8.871e-5
0.604, 8.931e-5
0.608, 8.980e-5
0.612, 9.024e-5
0.616, 9.059e-5
0.620, 9.086e-5
0.624, 9.109e-5
0.628, 9.128e-5
0.632, 9.143e-5
0.636, 9.153e-5
0.640, 9.152e-5
0.644, 9.145e-5
0.648, 9.128e-5
0.652, 9.101e-5
0.656, 9.057e-5
0.660, 8.995e-5
0.664, 8.912e-5
0.668, 8.807e-5
0.672, 8.680e-5
0.676, 8.531e-5
0.680, 8.361e-5
0.684, 8.173e-5
0.688, 7.971e-5
0.692, 7.758e-5
0.696, 7.540e-5
0.700, 7.320e-5
0.704, 7.100e-5
0.708, 6.883e-5
0.712, 6.670e-5
0.716, 6.461e-5
0.720, 6.257e-5
0.724, 6.058e-5
0.728, 5.865e-5
0.732, 5.678e-5
0.736, 5.495e-5
0.740, 5.318e-5
0.744, 5.146e-5
0.748, 4.980e-5
0.752, 4.818e-5
0.756, 4.661e-5
0.760, 4.509e-5
0.764, 4.361e-5
0.768, 4.219e-5
0.772, 4.082e-5
0.776, 3.952e-5
0.780, 3.826e-5
0.784, 3.704e-5
0.788, 3.589e-5
0.792, 3.478e-5
0.796, 3.373e-5
0.800, 3.272e-5
0.804, 3.177e-5
0.808, 3.085e-5
0.812, 2.999e-5
0.816, 2.917e-5
0.820, 2.839e-5
0.824, 2.764e-5
0.828, 2.695e-5
0.832, 2.629e-5
0.836, 2.567e-5
0.840, 2.509e-5
0.844, 2.454e-5
0.848, 2.403e-5
0.852, 2.356e-5
0.856, 2.311e-5
0.860, 2.270e-5
0.864, 2.231e-5
0.868, 2.196e-5
0.872, 2.163e-5
0.876, 2.133e-5
0.880, 2.105e-5
0.884, 2.079e-5
0.888, 2.057e-5
0.892, 2.036e-5
0.896, 2.016e-5
0.900, 1.999e-5
