Feb. 2, 2024   17:53:15
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240202Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.648V
ip = 4.545e-5A
Ap = 4.522e-6VA

Potential/V, Current/A

0.404, 5.031e-5
0.408, 4.920e-5
0.412, 4.871e-5
0.416, 4.877e-5
0.420, 4.932e-5
0.424, 5.028e-5
0.428, 5.154e-5
0.432, 5.312e-5
0.436, 5.492e-5
0.440, 5.687e-5
0.444, 5.892e-5
0.448, 6.099e-5
0.452, 6.302e-5
0.456, 6.490e-5
0.460, 6.659e-5
0.464, 6.804e-5
0.468, 6.921e-5
0.472, 7.000e-5
0.476, 7.041e-5
0.480, 7.045e-5
0.484, 7.014e-5
0.488, 6.949e-5
0.492, 6.856e-5
0.496, 6.740e-5
0.500, 6.608e-5
0.504, 6.465e-5
0.508, 6.319e-5
0.512, 6.176e-5
0.516, 6.042e-5
0.520, 5.919e-5
0.524, 5.814e-5
0.528, 5.726e-5
0.532, 5.660e-5
0.536, 5.613e-5
0.540, 5.586e-5
0.544, 5.580e-5
0.548, 5.593e-5
0.552, 5.625e-5
0.556, 5.673e-5
0.560, 5.736e-5
0.564, 5.811e-5
0.568, 5.897e-5
0.572, 5.994e-5
0.576, 6.100e-5
0.580, 6.213e-5
0.584, 6.335e-5
0.588, 6.466e-5
0.592, 6.605e-5
0.596, 6.755e-5
0.600, 6.914e-5
0.604, 7.085e-5
0.608, 7.264e-5
0.612, 7.451e-5
0.616, 7.648e-5
0.620, 7.845e-5
0.624, 8.040e-5
0.628, 8.229e-5
0.632, 8.403e-5
0.636, 8.554e-5
0.640, 8.673e-5
0.644, 8.754e-5
0.648, 8.785e-5
0.652, 8.764e-5
0.656, 8.681e-5
0.660, 8.539e-5
0.664, 8.338e-5
0.668, 8.089e-5
0.672, 7.802e-5
0.676, 7.490e-5
0.680, 7.164e-5
0.684, 6.835e-5
0.688, 6.513e-5
0.692, 6.201e-5
0.696, 5.903e-5
0.700, 5.622e-5
0.704, 5.356e-5
0.708, 5.108e-5
0.712, 4.873e-5
0.716, 4.652e-5
0.720, 4.442e-5
0.724, 4.243e-5
0.728, 4.055e-5
0.732, 3.876e-5
0.736, 3.707e-5
0.740, 3.547e-5
0.744, 3.394e-5
0.748, 3.250e-5
0.752, 3.112e-5
0.756, 2.982e-5
0.760, 2.857e-5
0.764, 2.740e-5
0.768, 2.629e-5
0.772, 2.525e-5
0.776, 2.426e-5
0.780, 2.333e-5
0.784, 2.244e-5
0.788, 2.161e-5
0.792, 2.082e-5
0.796, 2.008e-5
0.800, 1.939e-5
0.804, 1.874e-5
0.808, 1.812e-5
0.812, 1.754e-5
0.816, 1.699e-5
0.820, 1.648e-5
0.824, 1.598e-5
0.828, 1.552e-5
0.832, 1.509e-5
0.836, 1.469e-5
0.840, 1.431e-5
0.844, 1.397e-5
0.848, 1.364e-5
0.852, 1.333e-5
0.856, 1.305e-5
0.860, 1.279e-5
0.864, 1.255e-5
0.868, 1.232e-5
0.872, 1.212e-5
0.876, 1.194e-5
0.880, 1.177e-5
0.884, 1.162e-5
0.888, 1.148e-5
0.892, 1.137e-5
0.896, 1.126e-5
0.900, 1.117e-5
