Jan. 11, 2024   14:55:42
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240111Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.684V
ip = 1.773e-4A
Ap = 1.779e-5VA

Potential/V, Current/A

0.404, 9.970e-5
0.408, 9.918e-5
0.412, 9.949e-5
0.416, 1.005e-4
0.420, 1.021e-4
0.424, 1.042e-4
0.428, 1.066e-4
0.432, 1.093e-4
0.436, 1.122e-4
0.440, 1.152e-4
0.444, 1.182e-4
0.448, 1.211e-4
0.452, 1.239e-4
0.456, 1.264e-4
0.460, 1.285e-4
0.464, 1.301e-4
0.468, 1.313e-4
0.472, 1.317e-4
0.476, 1.316e-4
0.480, 1.308e-4
0.484, 1.294e-4
0.488, 1.275e-4
0.492, 1.251e-4
0.496, 1.222e-4
0.500, 1.191e-4
0.504, 1.159e-4
0.508, 1.125e-4
0.512, 1.091e-4
0.516, 1.059e-4
0.520, 1.027e-4
0.524, 9.984e-5
0.528, 9.719e-5
0.532, 9.480e-5
0.536, 9.272e-5
0.540, 9.094e-5
0.544, 8.948e-5
0.548, 8.835e-5
0.552, 8.752e-5
0.556, 8.704e-5
0.560, 8.690e-5
0.564, 8.709e-5
0.568, 8.764e-5
0.572, 8.858e-5
0.576, 8.989e-5
0.580, 9.160e-5
0.584, 9.373e-5
0.588, 9.632e-5
0.592, 9.938e-5
0.596, 1.029e-4
0.600, 1.070e-4
0.604, 1.117e-4
0.608, 1.169e-4
0.612, 1.227e-4
0.616, 1.291e-4
0.620, 1.360e-4
0.624, 1.435e-4
0.628, 1.515e-4
0.632, 1.600e-4
0.636, 1.688e-4
0.640, 1.779e-4
0.644, 1.871e-4
0.648, 1.964e-4
0.652, 2.055e-4
0.656, 2.141e-4
0.660, 2.222e-4
0.664, 2.295e-4
0.668, 2.358e-4
0.672, 2.409e-4
0.676, 2.445e-4
0.680, 2.465e-4
0.684, 2.468e-4
0.688, 2.452e-4
0.692, 2.419e-4
0.696, 2.366e-4
0.700, 2.296e-4
0.704, 2.208e-4
0.708, 2.105e-4
0.712, 1.989e-4
0.716, 1.865e-4
0.720, 1.736e-4
0.724, 1.606e-4
0.728, 1.481e-4
0.732, 1.364e-4
0.736, 1.257e-4
0.740, 1.162e-4
0.744, 1.080e-4
0.748, 1.008e-4
0.752, 9.468e-5
0.756, 8.939e-5
0.760, 8.478e-5
0.764, 8.074e-5
0.768, 7.716e-5
0.772, 7.398e-5
0.776, 7.114e-5
0.780, 6.852e-5
0.784, 6.615e-5
0.788, 6.397e-5
0.792, 6.197e-5
0.796, 6.012e-5
0.800, 5.840e-5
0.804, 5.681e-5
0.808, 5.533e-5
0.812, 5.395e-5
0.816, 5.266e-5
0.820, 5.146e-5
0.824, 5.031e-5
0.828, 4.926e-5
0.832, 4.827e-5
0.836, 4.735e-5
0.840, 4.649e-5
0.844, 4.569e-5
0.848, 4.494e-5
0.852, 4.423e-5
0.856, 4.357e-5
0.860, 4.298e-5
0.864, 4.241e-5
0.868, 4.190e-5
0.872, 4.142e-5
0.876, 4.099e-5
0.880, 4.059e-5
0.884, 4.024e-5
0.888, 3.992e-5
0.892, 3.966e-5
0.896, 3.942e-5
0.900, 3.921e-5
