Jan. 9, 2024   16:57:34
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240109\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.652V
ip = 3.525e-5A
Ap = 2.879e-6VA

Potential/V, Current/A

0.404, 4.190e-5
0.408, 4.049e-5
0.412, 3.952e-5
0.416, 3.902e-5
0.420, 3.890e-5
0.424, 3.912e-5
0.428, 3.968e-5
0.432, 4.056e-5
0.436, 4.174e-5
0.440, 4.317e-5
0.444, 4.484e-5
0.448, 4.676e-5
0.452, 4.885e-5
0.456, 5.108e-5
0.460, 5.337e-5
0.464, 5.569e-5
0.468, 5.793e-5
0.472, 6.003e-5
0.476, 6.188e-5
0.480, 6.342e-5
0.484, 6.461e-5
0.488, 6.538e-5
0.492, 6.574e-5
0.496, 6.571e-5
0.500, 6.529e-5
0.504, 6.457e-5
0.508, 6.363e-5
0.512, 6.246e-5
0.516, 6.122e-5
0.520, 5.992e-5
0.524, 5.865e-5
0.528, 5.743e-5
0.532, 5.633e-5
0.536, 5.534e-5
0.540, 5.451e-5
0.544, 5.381e-5
0.548, 5.329e-5
0.552, 5.291e-5
0.556, 5.268e-5
0.560, 5.259e-5
0.564, 5.263e-5
0.568, 5.279e-5
0.572, 5.306e-5
0.576, 5.344e-5
0.580, 5.393e-5
0.584, 5.453e-5
0.588, 5.524e-5
0.592, 5.607e-5
0.596, 5.704e-5
0.600, 5.816e-5
0.604, 5.943e-5
0.608, 6.088e-5
0.612, 6.250e-5
0.616, 6.426e-5
0.620, 6.615e-5
0.624, 6.810e-5
0.628, 7.004e-5
0.632, 7.195e-5
0.636, 7.370e-5
0.640, 7.517e-5
0.644, 7.627e-5
0.648, 7.691e-5
0.652, 7.700e-5
0.656, 7.649e-5
0.660, 7.534e-5
0.664, 7.359e-5
0.668, 7.131e-5
0.672, 6.862e-5
0.676, 6.564e-5
0.680, 6.255e-5
0.684, 5.944e-5
0.688, 5.643e-5
0.692, 5.358e-5
0.696, 5.092e-5
0.700, 4.847e-5
0.704, 4.621e-5
0.708, 4.416e-5
0.712, 4.228e-5
0.716, 4.054e-5
0.720, 3.893e-5
0.724, 3.744e-5
0.728, 3.604e-5
0.732, 3.472e-5
0.736, 3.345e-5
0.740, 3.224e-5
0.744, 3.108e-5
0.748, 2.998e-5
0.752, 2.891e-5
0.756, 2.788e-5
0.760, 2.690e-5
0.764, 2.595e-5
0.768, 2.504e-5
0.772, 2.416e-5
0.776, 2.334e-5
0.780, 2.255e-5
0.784, 2.180e-5
0.788, 2.108e-5
0.792, 2.040e-5
0.796, 1.976e-5
0.800, 1.914e-5
0.804, 1.856e-5
0.808, 1.801e-5
0.812, 1.749e-5
0.816, 1.700e-5
0.820, 1.654e-5
0.824, 1.610e-5
0.828, 1.569e-5
0.832, 1.531e-5
0.836, 1.496e-5
0.840, 1.462e-5
0.844, 1.431e-5
0.848, 1.402e-5
0.852, 1.375e-5
0.856, 1.350e-5
0.860, 1.327e-5
0.864, 1.306e-5
0.868, 1.287e-5
0.872, 1.270e-5
0.876, 1.254e-5
0.880, 1.240e-5
0.884, 1.227e-5
0.888, 1.216e-5
0.892, 1.206e-5
0.896, 1.198e-5
0.900, 1.190e-5
