Jan. 29, 2024   20:26:14
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240129Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.648V
ip = 2.633e-5A
Ap = 2.193e-6VA

Potential/V, Current/A

0.404, 4.293e-5
0.408, 4.151e-5
0.412, 4.065e-5
0.416, 4.031e-5
0.420, 4.040e-5
0.424, 4.087e-5
0.428, 4.166e-5
0.432, 4.268e-5
0.436, 4.395e-5
0.440, 4.540e-5
0.444, 4.698e-5
0.448, 4.866e-5
0.452, 5.037e-5
0.456, 5.207e-5
0.460, 5.370e-5
0.464, 5.518e-5
0.468, 5.649e-5
0.472, 5.756e-5
0.476, 5.838e-5
0.480, 5.892e-5
0.484, 5.917e-5
0.488, 5.915e-5
0.492, 5.885e-5
0.496, 5.834e-5
0.500, 5.764e-5
0.504, 5.681e-5
0.508, 5.588e-5
0.512, 5.490e-5
0.516, 5.394e-5
0.520, 5.302e-5
0.524, 5.217e-5
0.528, 5.140e-5
0.532, 5.075e-5
0.536, 5.019e-5
0.540, 4.976e-5
0.544, 4.942e-5
0.548, 4.918e-5
0.552, 4.904e-5
0.556, 4.900e-5
0.560, 4.902e-5
0.564, 4.911e-5
0.568, 4.925e-5
0.572, 4.946e-5
0.576, 4.974e-5
0.580, 5.009e-5
0.584, 5.051e-5
0.588, 5.102e-5
0.592, 5.164e-5
0.596, 5.237e-5
0.600, 5.322e-5
0.604, 5.420e-5
0.608, 5.529e-5
0.612, 5.648e-5
0.616, 5.775e-5
0.620, 5.907e-5
0.624, 6.038e-5
0.628, 6.164e-5
0.632, 6.278e-5
0.636, 6.373e-5
0.640, 6.443e-5
0.644, 6.480e-5
0.648, 6.482e-5
0.652, 6.442e-5
0.656, 6.361e-5
0.660, 6.238e-5
0.664, 6.079e-5
0.668, 5.890e-5
0.672, 5.679e-5
0.676, 5.454e-5
0.680, 5.221e-5
0.684, 4.988e-5
0.688, 4.760e-5
0.692, 4.540e-5
0.696, 4.330e-5
0.700, 4.131e-5
0.704, 3.943e-5
0.708, 3.764e-5
0.712, 3.595e-5
0.716, 3.435e-5
0.720, 3.284e-5
0.724, 3.140e-5
0.728, 3.004e-5
0.732, 2.876e-5
0.736, 2.754e-5
0.740, 2.639e-5
0.744, 2.531e-5
0.748, 2.428e-5
0.752, 2.331e-5
0.756, 2.239e-5
0.760, 2.150e-5
0.764, 2.068e-5
0.768, 1.990e-5
0.772, 1.917e-5
0.776, 1.848e-5
0.780, 1.782e-5
0.784, 1.720e-5
0.788, 1.662e-5
0.792, 1.607e-5
0.796, 1.556e-5
0.800, 1.507e-5
0.804, 1.461e-5
0.808, 1.417e-5
0.812, 1.377e-5
0.816, 1.338e-5
0.820, 1.303e-5
0.824, 1.268e-5
0.828, 1.237e-5
0.832, 1.208e-5
0.836, 1.180e-5
0.840, 1.155e-5
0.844, 1.131e-5
0.848, 1.109e-5
0.852, 1.089e-5
0.856, 1.071e-5
0.860, 1.055e-5
0.864, 1.039e-5
0.868, 1.026e-5
0.872, 1.014e-5
0.876, 1.003e-5
0.880, 9.932e-6
0.884, 9.849e-6
0.888, 9.775e-6
0.892, 9.716e-6
0.896, 9.661e-6
0.900, 9.615e-6
