Jan. 29, 2024   19:31:47
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240129Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.664V
ip = 3.091e-5A
Ap = 3.931e-6VA

Potential/V, Current/A

0.404, 5.012e-5
0.408, 4.707e-5
0.412, 4.476e-5
0.416, 4.317e-5
0.420, 4.214e-5
0.424, 4.165e-5
0.428, 4.162e-5
0.432, 4.204e-5
0.436, 4.285e-5
0.440, 4.405e-5
0.444, 4.560e-5
0.448, 4.748e-5
0.452, 4.962e-5
0.456, 5.201e-5
0.460, 5.454e-5
0.464, 5.718e-5
0.468, 5.984e-5
0.472, 6.245e-5
0.476, 6.492e-5
0.480, 6.713e-5
0.484, 6.903e-5
0.488, 7.058e-5
0.492, 7.173e-5
0.496, 7.244e-5
0.500, 7.274e-5
0.504, 7.265e-5
0.508, 7.226e-5
0.512, 7.161e-5
0.516, 7.079e-5
0.520, 6.985e-5
0.524, 6.886e-5
0.528, 6.789e-5
0.532, 6.695e-5
0.536, 6.609e-5
0.540, 6.532e-5
0.544, 6.467e-5
0.548, 6.416e-5
0.552, 6.377e-5
0.556, 6.352e-5
0.560, 6.339e-5
0.564, 6.339e-5
0.568, 6.352e-5
0.572, 6.375e-5
0.576, 6.409e-5
0.580, 6.452e-5
0.584, 6.503e-5
0.588, 6.561e-5
0.592, 6.626e-5
0.596, 6.695e-5
0.600, 6.772e-5
0.604, 6.852e-5
0.608, 6.938e-5
0.612, 7.028e-5
0.616, 7.124e-5
0.620, 7.222e-5
0.624, 7.325e-5
0.628, 7.430e-5
0.632, 7.535e-5
0.636, 7.639e-5
0.640, 7.738e-5
0.644, 7.831e-5
0.648, 7.915e-5
0.652, 7.986e-5
0.656, 8.039e-5
0.660, 8.076e-5
0.664, 8.093e-5
0.668, 8.088e-5
0.672, 8.059e-5
0.676, 8.007e-5
0.680, 7.935e-5
0.684, 7.841e-5
0.688, 7.727e-5
0.692, 7.597e-5
0.696, 7.451e-5
0.700, 7.295e-5
0.704, 7.128e-5
0.708, 6.959e-5
0.712, 6.783e-5
0.716, 6.605e-5
0.720, 6.427e-5
0.724, 6.249e-5
0.728, 6.073e-5
0.732, 5.899e-5
0.736, 5.725e-5
0.740, 5.553e-5
0.744, 5.383e-5
0.748, 5.214e-5
0.752, 5.048e-5
0.756, 4.884e-5
0.760, 4.724e-5
0.764, 4.566e-5
0.768, 4.412e-5
0.772, 4.263e-5
0.776, 4.120e-5
0.780, 3.979e-5
0.784, 3.842e-5
0.788, 3.710e-5
0.792, 3.584e-5
0.796, 3.463e-5
0.800, 3.347e-5
0.804, 3.236e-5
0.808, 3.130e-5
0.812, 3.029e-5
0.816, 2.935e-5
0.820, 2.845e-5
0.824, 2.758e-5
0.828, 2.677e-5
0.832, 2.600e-5
0.836, 2.528e-5
0.840, 2.459e-5
0.844, 2.395e-5
0.848, 2.335e-5
0.852, 2.278e-5
0.856, 2.225e-5
0.860, 2.176e-5
0.864, 2.130e-5
0.868, 2.086e-5
0.872, 2.047e-5
0.876, 2.011e-5
0.880, 1.977e-5
0.884, 1.946e-5
0.888, 1.917e-5
0.892, 1.891e-5
0.896, 1.868e-5
0.900, 1.846e-5
