Jan. 27, 2024   14:49:12
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240127Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.672V
ip = 1.039e-4A
Ap = 1.063e-5VA

Potential/V, Current/A

0.404, 6.568e-5
0.408, 6.518e-5
0.412, 6.540e-5
0.416, 6.635e-5
0.420, 6.791e-5
0.424, 6.994e-5
0.428, 7.237e-5
0.432, 7.506e-5
0.436, 7.795e-5
0.440, 8.089e-5
0.444, 8.378e-5
0.448, 8.649e-5
0.452, 8.894e-5
0.456, 9.098e-5
0.460, 9.257e-5
0.464, 9.361e-5
0.468, 9.406e-5
0.472, 9.387e-5
0.476, 9.309e-5
0.480, 9.172e-5
0.484, 8.985e-5
0.488, 8.753e-5
0.492, 8.485e-5
0.496, 8.191e-5
0.500, 7.882e-5
0.504, 7.564e-5
0.508, 7.248e-5
0.512, 6.938e-5
0.516, 6.643e-5
0.520, 6.365e-5
0.524, 6.109e-5
0.528, 5.878e-5
0.532, 5.674e-5
0.536, 5.494e-5
0.540, 5.344e-5
0.544, 5.220e-5
0.548, 5.125e-5
0.552, 5.059e-5
0.556, 5.020e-5
0.560, 5.012e-5
0.564, 5.033e-5
0.568, 5.085e-5
0.572, 5.168e-5
0.576, 5.281e-5
0.580, 5.429e-5
0.584, 5.609e-5
0.588, 5.825e-5
0.592, 6.075e-5
0.596, 6.361e-5
0.600, 6.683e-5
0.604, 7.040e-5
0.608, 7.430e-5
0.612, 7.855e-5
0.616, 8.312e-5
0.620, 8.794e-5
0.624, 9.296e-5
0.628, 9.809e-5
0.632, 1.034e-4
0.636, 1.089e-4
0.640, 1.145e-4
0.644, 1.198e-4
0.648, 1.248e-4
0.652, 1.294e-4
0.656, 1.335e-4
0.660, 1.370e-4
0.664, 1.397e-4
0.668, 1.416e-4
0.672, 1.425e-4
0.676, 1.424e-4
0.680, 1.411e-4
0.684, 1.386e-4
0.688, 1.351e-4
0.692, 1.304e-4
0.696, 1.248e-4
0.700, 1.184e-4
0.704, 1.114e-4
0.708, 1.043e-4
0.712, 9.719e-5
0.716, 9.016e-5
0.720, 8.352e-5
0.724, 7.745e-5
0.728, 7.200e-5
0.732, 6.717e-5
0.736, 6.288e-5
0.740, 5.908e-5
0.744, 5.569e-5
0.748, 5.264e-5
0.752, 4.988e-5
0.756, 4.736e-5
0.760, 4.504e-5
0.764, 4.290e-5
0.768, 4.090e-5
0.772, 3.906e-5
0.776, 3.737e-5
0.780, 3.576e-5
0.784, 3.426e-5
0.788, 3.286e-5
0.792, 3.153e-5
0.796, 3.029e-5
0.800, 2.914e-5
0.804, 2.805e-5
0.808, 2.702e-5
0.812, 2.606e-5
0.816, 2.515e-5
0.820, 2.431e-5
0.824, 2.351e-5
0.828, 2.276e-5
0.832, 2.206e-5
0.836, 2.141e-5
0.840, 2.079e-5
0.844, 2.021e-5
0.848, 1.966e-5
0.852, 1.915e-5
0.856, 1.868e-5
0.860, 1.824e-5
0.864, 1.782e-5
0.868, 1.744e-5
0.872, 1.709e-5
0.876, 1.677e-5
0.880, 1.647e-5
0.884, 1.620e-5
0.888, 1.595e-5
0.892, 1.573e-5
0.896, 1.553e-5
0.900, 1.535e-5
