Jan. 27, 2024   16:09:19
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240127Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.660V
ip = 3.844e-5A
Ap = 4.593e-6VA

Potential/V, Current/A

0.404, 5.767e-5
0.408, 5.465e-5
0.412, 5.257e-5
0.416, 5.133e-5
0.420, 5.082e-5
0.424, 5.094e-5
0.428, 5.158e-5
0.432, 5.275e-5
0.436, 5.438e-5
0.440, 5.642e-5
0.444, 5.883e-5
0.448, 6.159e-5
0.452, 6.461e-5
0.456, 6.783e-5
0.460, 7.118e-5
0.464, 7.454e-5
0.468, 7.783e-5
0.472, 8.094e-5
0.476, 8.374e-5
0.480, 8.611e-5
0.484, 8.801e-5
0.488, 8.934e-5
0.492, 9.009e-5
0.496, 9.024e-5
0.500, 8.989e-5
0.504, 8.906e-5
0.508, 8.791e-5
0.512, 8.651e-5
0.516, 8.498e-5
0.520, 8.343e-5
0.524, 8.193e-5
0.528, 8.055e-5
0.532, 7.935e-5
0.536, 7.831e-5
0.540, 7.751e-5
0.544, 7.693e-5
0.548, 7.657e-5
0.552, 7.642e-5
0.556, 7.647e-5
0.560, 7.670e-5
0.564, 7.710e-5
0.568, 7.762e-5
0.572, 7.828e-5
0.576, 7.902e-5
0.580, 7.985e-5
0.584, 8.073e-5
0.588, 8.165e-5
0.592, 8.261e-5
0.596, 8.358e-5
0.600, 8.455e-5
0.604, 8.554e-5
0.608, 8.656e-5
0.612, 8.760e-5
0.616, 8.864e-5
0.620, 8.972e-5
0.624, 9.080e-5
0.628, 9.189e-5
0.632, 9.295e-5
0.636, 9.396e-5
0.640, 9.490e-5
0.644, 9.573e-5
0.648, 9.641e-5
0.652, 9.690e-5
0.656, 9.716e-5
0.660, 9.716e-5
0.664, 9.690e-5
0.668, 9.636e-5
0.672, 9.551e-5
0.676, 9.437e-5
0.680, 9.294e-5
0.684, 9.126e-5
0.688, 8.936e-5
0.692, 8.728e-5
0.696, 8.505e-5
0.700, 8.269e-5
0.704, 8.025e-5
0.708, 7.778e-5
0.712, 7.525e-5
0.716, 7.273e-5
0.720, 7.022e-5
0.724, 6.775e-5
0.728, 6.529e-5
0.732, 6.289e-5
0.736, 6.053e-5
0.740, 5.823e-5
0.744, 5.599e-5
0.748, 5.382e-5
0.752, 5.173e-5
0.756, 4.970e-5
0.760, 4.774e-5
0.764, 4.586e-5
0.768, 4.406e-5
0.772, 4.234e-5
0.776, 4.070e-5
0.780, 3.913e-5
0.784, 3.764e-5
0.788, 3.624e-5
0.792, 3.489e-5
0.796, 3.362e-5
0.800, 3.241e-5
0.804, 3.128e-5
0.808, 3.020e-5
0.812, 2.919e-5
0.816, 2.823e-5
0.820, 2.733e-5
0.824, 2.647e-5
0.828, 2.567e-5
0.832, 2.492e-5
0.836, 2.423e-5
0.840, 2.357e-5
0.844, 2.296e-5
0.848, 2.239e-5
0.852, 2.185e-5
0.856, 2.134e-5
0.860, 2.087e-5
0.864, 2.043e-5
0.868, 2.003e-5
0.872, 1.965e-5
0.876, 1.931e-5
0.880, 1.899e-5
0.884, 1.871e-5
0.888, 1.844e-5
0.892, 1.820e-5
0.896, 1.799e-5
0.900, 1.778e-5
