Jan. 31, 2024   14:59:52
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240131Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.668V
ip = 9.118e-5A
Ap = 1.001e-5VA

Potential/V, Current/A

0.404, 6.089e-5
0.408, 5.980e-5
0.412, 5.959e-5
0.416, 6.019e-5
0.420, 6.145e-5
0.424, 6.332e-5
0.428, 6.566e-5
0.432, 6.841e-5
0.436, 7.150e-5
0.440, 7.476e-5
0.444, 7.815e-5
0.448, 8.152e-5
0.452, 8.474e-5
0.456, 8.773e-5
0.460, 9.036e-5
0.464, 9.250e-5
0.468, 9.412e-5
0.472, 9.510e-5
0.476, 9.542e-5
0.480, 9.506e-5
0.484, 9.410e-5
0.488, 9.252e-5
0.492, 9.048e-5
0.496, 8.804e-5
0.500, 8.533e-5
0.504, 8.245e-5
0.508, 7.956e-5
0.512, 7.671e-5
0.516, 7.400e-5
0.520, 7.148e-5
0.524, 6.920e-5
0.528, 6.719e-5
0.532, 6.546e-5
0.536, 6.401e-5
0.540, 6.288e-5
0.544, 6.206e-5
0.548, 6.154e-5
0.552, 6.131e-5
0.556, 6.140e-5
0.560, 6.176e-5
0.564, 6.244e-5
0.568, 6.338e-5
0.572, 6.460e-5
0.576, 6.611e-5
0.580, 6.788e-5
0.584, 6.991e-5
0.588, 7.220e-5
0.592, 7.474e-5
0.596, 7.752e-5
0.600, 8.053e-5
0.604, 8.380e-5
0.608, 8.728e-5
0.612, 9.092e-5
0.616, 9.477e-5
0.620, 9.882e-5
0.624, 1.030e-4
0.628, 1.073e-4
0.632, 1.116e-4
0.636, 1.159e-4
0.640, 1.201e-4
0.644, 1.241e-4
0.648, 1.278e-4
0.652, 1.312e-4
0.656, 1.339e-4
0.660, 1.361e-4
0.664, 1.375e-4
0.668, 1.382e-4
0.672, 1.380e-4
0.676, 1.369e-4
0.680, 1.350e-4
0.684, 1.322e-4
0.688, 1.287e-4
0.692, 1.244e-4
0.696, 1.196e-4
0.700, 1.143e-4
0.704, 1.087e-4
0.708, 1.030e-4
0.712, 9.724e-5
0.716, 9.164e-5
0.720, 8.634e-5
0.724, 8.136e-5
0.728, 7.677e-5
0.732, 7.259e-5
0.736, 6.874e-5
0.740, 6.522e-5
0.744, 6.197e-5
0.748, 5.896e-5
0.752, 5.615e-5
0.756, 5.355e-5
0.760, 5.111e-5
0.764, 4.882e-5
0.768, 4.666e-5
0.772, 4.463e-5
0.776, 4.274e-5
0.780, 4.095e-5
0.784, 3.926e-5
0.788, 3.766e-5
0.792, 3.616e-5
0.796, 3.474e-5
0.800, 3.340e-5
0.804, 3.215e-5
0.808, 3.097e-5
0.812, 2.987e-5
0.816, 2.882e-5
0.820, 2.785e-5
0.824, 2.692e-5
0.828, 2.605e-5
0.832, 2.524e-5
0.836, 2.447e-5
0.840, 2.374e-5
0.844, 2.307e-5
0.848, 2.243e-5
0.852, 2.184e-5
0.856, 2.128e-5
0.860, 2.077e-5
0.864, 2.028e-5
0.868, 1.983e-5
0.872, 1.942e-5
0.876, 1.903e-5
0.880, 1.867e-5
0.884, 1.834e-5
0.888, 1.804e-5
0.892, 1.777e-5
0.896, 1.752e-5
0.900, 1.729e-5
