Feb. 1, 2024   09:33:35
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240201Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.656V
ip = 2.933e-5A
Ap = 3.795e-6VA

Potential/V, Current/A

0.404, 5.632e-5
0.408, 5.333e-5
0.412, 5.122e-5
0.416, 4.987e-5
0.420, 4.923e-5
0.424, 4.913e-5
0.428, 4.957e-5
0.432, 5.046e-5
0.436, 5.182e-5
0.440, 5.356e-5
0.444, 5.566e-5
0.448, 5.809e-5
0.452, 6.078e-5
0.456, 6.367e-5
0.460, 6.672e-5
0.464, 6.981e-5
0.468, 7.283e-5
0.472, 7.569e-5
0.476, 7.832e-5
0.480, 8.056e-5
0.484, 8.236e-5
0.488, 8.366e-5
0.492, 8.442e-5
0.496, 8.468e-5
0.500, 8.447e-5
0.504, 8.389e-5
0.508, 8.302e-5
0.512, 8.195e-5
0.516, 8.080e-5
0.520, 7.964e-5
0.524, 7.854e-5
0.528, 7.755e-5
0.532, 7.671e-5
0.536, 7.602e-5
0.540, 7.553e-5
0.544, 7.520e-5
0.548, 7.507e-5
0.552, 7.508e-5
0.556, 7.526e-5
0.560, 7.554e-5
0.564, 7.595e-5
0.568, 7.642e-5
0.572, 7.697e-5
0.576, 7.753e-5
0.580, 7.811e-5
0.584, 7.871e-5
0.588, 7.927e-5
0.592, 7.981e-5
0.596, 8.031e-5
0.600, 8.078e-5
0.604, 8.128e-5
0.608, 8.180e-5
0.612, 8.230e-5
0.616, 8.283e-5
0.620, 8.338e-5
0.624, 8.395e-5
0.628, 8.454e-5
0.632, 8.512e-5
0.636, 8.568e-5
0.640, 8.623e-5
0.644, 8.670e-5
0.648, 8.701e-5
0.652, 8.721e-5
0.656, 8.724e-5
0.660, 8.706e-5
0.664, 8.666e-5
0.668, 8.605e-5
0.672, 8.527e-5
0.676, 8.428e-5
0.680, 8.305e-5
0.684, 8.167e-5
0.688, 8.013e-5
0.692, 7.847e-5
0.696, 7.674e-5
0.700, 7.494e-5
0.704, 7.311e-5
0.708, 7.125e-5
0.712, 6.936e-5
0.716, 6.745e-5
0.720, 6.555e-5
0.724, 6.365e-5
0.728, 6.174e-5
0.732, 5.985e-5
0.736, 5.796e-5
0.740, 5.609e-5
0.744, 5.424e-5
0.748, 5.241e-5
0.752, 5.062e-5
0.756, 4.886e-5
0.760, 4.713e-5
0.764, 4.544e-5
0.768, 4.379e-5
0.772, 4.220e-5
0.776, 4.067e-5
0.780, 3.920e-5
0.784, 3.778e-5
0.788, 3.643e-5
0.792, 3.513e-5
0.796, 3.389e-5
0.800, 3.271e-5
0.804, 3.159e-5
0.808, 3.053e-5
0.812, 2.953e-5
0.816, 2.857e-5
0.820, 2.767e-5
0.824, 2.681e-5
0.828, 2.600e-5
0.832, 2.524e-5
0.836, 2.453e-5
0.840, 2.387e-5
0.844, 2.325e-5
0.848, 2.267e-5
0.852, 2.212e-5
0.856, 2.161e-5
0.860, 2.113e-5
0.864, 2.068e-5
0.868, 2.027e-5
0.872, 1.988e-5
0.876, 1.953e-5
0.880, 1.922e-5
0.884, 1.892e-5
0.888, 1.866e-5
0.892, 1.843e-5
0.896, 1.826e-5
0.900, 1.804e-5
