Feb. 1, 2024   16:46:14
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240201Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.648V
ip = 7.312e-5A
Ap = 7.232e-6VA

Potential/V, Current/A

0.404, 6.017e-5
0.408, 5.926e-5
0.412, 5.909e-5
0.416, 5.963e-5
0.420, 6.073e-5
0.424, 6.233e-5
0.428, 6.431e-5
0.432, 6.658e-5
0.436, 6.908e-5
0.440, 7.171e-5
0.444, 7.432e-5
0.448, 7.688e-5
0.452, 7.926e-5
0.456, 8.137e-5
0.460, 8.310e-5
0.464, 8.444e-5
0.468, 8.533e-5
0.472, 8.568e-5
0.476, 8.555e-5
0.480, 8.490e-5
0.484, 8.386e-5
0.488, 8.241e-5
0.492, 8.068e-5
0.496, 7.876e-5
0.500, 7.671e-5
0.504, 7.462e-5
0.508, 7.259e-5
0.512, 7.068e-5
0.516, 6.897e-5
0.520, 6.747e-5
0.524, 6.624e-5
0.528, 6.530e-5
0.532, 6.466e-5
0.536, 6.433e-5
0.540, 6.428e-5
0.544, 6.453e-5
0.548, 6.507e-5
0.552, 6.588e-5
0.556, 6.693e-5
0.560, 6.821e-5
0.564, 6.970e-5
0.568, 7.138e-5
0.572, 7.322e-5
0.576, 7.525e-5
0.580, 7.742e-5
0.584, 7.973e-5
0.588, 8.219e-5
0.592, 8.479e-5
0.596, 8.755e-5
0.600, 9.045e-5
0.604, 9.349e-5
0.608, 9.664e-5
0.612, 9.982e-5
0.616, 1.030e-4
0.620, 1.063e-4
0.624, 1.095e-4
0.628, 1.125e-4
0.632, 1.153e-4
0.636, 1.177e-4
0.640, 1.196e-4
0.644, 1.208e-4
0.648, 1.213e-4
0.652, 1.209e-4
0.656, 1.195e-4
0.660, 1.172e-4
0.664, 1.139e-4
0.668, 1.099e-4
0.672, 1.051e-4
0.676, 9.999e-5
0.680, 9.465e-5
0.684, 8.932e-5
0.688, 8.414e-5
0.692, 7.925e-5
0.696, 7.466e-5
0.700, 7.039e-5
0.704, 6.644e-5
0.708, 6.280e-5
0.712, 5.943e-5
0.716, 5.630e-5
0.720, 5.339e-5
0.724, 5.067e-5
0.728, 4.812e-5
0.732, 4.574e-5
0.736, 4.350e-5
0.740, 4.140e-5
0.744, 3.942e-5
0.748, 3.756e-5
0.752, 3.580e-5
0.756, 3.415e-5
0.760, 3.260e-5
0.764, 3.114e-5
0.768, 2.978e-5
0.772, 2.850e-5
0.776, 2.731e-5
0.780, 2.618e-5
0.784, 2.511e-5
0.788, 2.411e-5
0.792, 2.317e-5
0.796, 2.229e-5
0.800, 2.147e-5
0.804, 2.070e-5
0.808, 1.997e-5
0.812, 1.929e-5
0.816, 1.865e-5
0.820, 1.805e-5
0.824, 1.748e-5
0.828, 1.695e-5
0.832, 1.646e-5
0.836, 1.600e-5
0.840, 1.557e-5
0.844, 1.517e-5
0.848, 1.480e-5
0.852, 1.445e-5
0.856, 1.413e-5
0.860, 1.384e-5
0.864, 1.357e-5
0.868, 1.332e-5
0.872, 1.309e-5
0.876, 1.288e-5
0.880, 1.269e-5
0.884, 1.253e-5
0.888, 1.238e-5
0.892, 1.224e-5
0.896, 1.212e-5
0.900, 1.201e-5
