Feb. 1, 2024   16:05:50
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240201Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.668V
ip = 8.944e-5A
Ap = 1.002e-5VA

Potential/V, Current/A

0.404, 6.070e-5
0.408, 5.911e-5
0.412, 5.841e-5
0.416, 5.854e-5
0.420, 5.930e-5
0.424, 6.070e-5
0.428, 6.257e-5
0.432, 6.489e-5
0.436, 6.758e-5
0.440, 7.053e-5
0.444, 7.368e-5
0.448, 7.694e-5
0.452, 8.018e-5
0.456, 8.329e-5
0.460, 8.619e-5
0.464, 8.871e-5
0.468, 9.078e-5
0.472, 9.228e-5
0.476, 9.319e-5
0.480, 9.343e-5
0.484, 9.302e-5
0.488, 9.201e-5
0.492, 9.047e-5
0.496, 8.847e-5
0.500, 8.613e-5
0.504, 8.357e-5
0.508, 8.091e-5
0.512, 7.822e-5
0.516, 7.562e-5
0.520, 7.315e-5
0.524, 7.089e-5
0.528, 6.886e-5
0.532, 6.709e-5
0.536, 6.558e-5
0.540, 6.438e-5
0.544, 6.343e-5
0.548, 6.281e-5
0.552, 6.247e-5
0.556, 6.243e-5
0.560, 6.269e-5
0.564, 6.324e-5
0.568, 6.408e-5
0.572, 6.519e-5
0.576, 6.660e-5
0.580, 6.829e-5
0.584, 7.024e-5
0.588, 7.247e-5
0.592, 7.494e-5
0.596, 7.769e-5
0.600, 8.068e-5
0.604, 8.389e-5
0.608, 8.735e-5
0.612, 9.101e-5
0.616, 9.489e-5
0.620, 9.890e-5
0.624, 1.031e-4
0.628, 1.073e-4
0.632, 1.116e-4
0.636, 1.158e-4
0.640, 1.199e-4
0.644, 1.239e-4
0.648, 1.275e-4
0.652, 1.306e-4
0.656, 1.333e-4
0.660, 1.354e-4
0.664, 1.368e-4
0.668, 1.374e-4
0.672, 1.372e-4
0.676, 1.362e-4
0.680, 1.343e-4
0.684, 1.317e-4
0.688, 1.282e-4
0.692, 1.242e-4
0.696, 1.197e-4
0.700, 1.147e-4
0.704, 1.095e-4
0.708, 1.041e-4
0.712, 9.880e-5
0.716, 9.360e-5
0.720, 8.861e-5
0.724, 8.390e-5
0.728, 7.950e-5
0.732, 7.543e-5
0.736, 7.163e-5
0.740, 6.811e-5
0.744, 6.482e-5
0.748, 6.175e-5
0.752, 5.888e-5
0.756, 5.619e-5
0.760, 5.365e-5
0.764, 5.126e-5
0.768, 4.900e-5
0.772, 4.688e-5
0.776, 4.490e-5
0.780, 4.301e-5
0.784, 4.124e-5
0.788, 3.956e-5
0.792, 3.797e-5
0.796, 3.647e-5
0.800, 3.506e-5
0.804, 3.374e-5
0.808, 3.249e-5
0.812, 3.132e-5
0.816, 3.021e-5
0.820, 2.918e-5
0.824, 2.819e-5
0.828, 2.727e-5
0.832, 2.641e-5
0.836, 2.559e-5
0.840, 2.482e-5
0.844, 2.410e-5
0.848, 2.343e-5
0.852, 2.279e-5
0.856, 2.220e-5
0.860, 2.164e-5
0.864, 2.113e-5
0.868, 2.065e-5
0.872, 2.020e-5
0.876, 1.979e-5
0.880, 1.941e-5
0.884, 1.906e-5
0.888, 1.873e-5
0.892, 1.844e-5
0.896, 1.817e-5
0.900, 1.793e-5
