Feb. 1, 2024   15:41:05
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240201Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.648V
ip = 2.843e-5A
Ap = 2.528e-6VA

Potential/V, Current/A

0.404, 4.450e-5
0.408, 4.287e-5
0.412, 4.185e-5
0.416, 4.139e-5
0.420, 4.140e-5
0.424, 4.180e-5
0.428, 4.254e-5
0.432, 4.356e-5
0.436, 4.482e-5
0.440, 4.630e-5
0.444, 4.793e-5
0.448, 4.969e-5
0.452, 5.149e-5
0.456, 5.332e-5
0.460, 5.511e-5
0.464, 5.679e-5
0.468, 5.831e-5
0.472, 5.961e-5
0.476, 6.068e-5
0.480, 6.147e-5
0.484, 6.197e-5
0.488, 6.218e-5
0.492, 6.210e-5
0.496, 6.177e-5
0.500, 6.121e-5
0.504, 6.047e-5
0.508, 5.961e-5
0.512, 5.866e-5
0.516, 5.769e-5
0.520, 5.672e-5
0.524, 5.582e-5
0.528, 5.500e-5
0.532, 5.429e-5
0.536, 5.370e-5
0.540, 5.324e-5
0.544, 5.290e-5
0.548, 5.269e-5
0.552, 5.257e-5
0.556, 5.257e-5
0.560, 5.264e-5
0.564, 5.278e-5
0.568, 5.298e-5
0.572, 5.323e-5
0.576, 5.354e-5
0.580, 5.388e-5
0.584, 5.427e-5
0.588, 5.473e-5
0.592, 5.528e-5
0.596, 5.590e-5
0.600, 5.664e-5
0.604, 5.750e-5
0.608, 5.848e-5
0.612, 5.957e-5
0.616, 6.080e-5
0.620, 6.209e-5
0.624, 6.345e-5
0.628, 6.480e-5
0.632, 6.610e-5
0.636, 6.727e-5
0.640, 6.824e-5
0.644, 6.894e-5
0.648, 6.932e-5
0.652, 6.931e-5
0.656, 6.885e-5
0.660, 6.796e-5
0.664, 6.660e-5
0.668, 6.484e-5
0.672, 6.276e-5
0.676, 6.047e-5
0.680, 5.805e-5
0.684, 5.560e-5
0.688, 5.317e-5
0.692, 5.081e-5
0.696, 4.854e-5
0.700, 4.637e-5
0.704, 4.431e-5
0.708, 4.235e-5
0.712, 4.049e-5
0.716, 3.874e-5
0.720, 3.706e-5
0.724, 3.545e-5
0.728, 3.393e-5
0.732, 3.247e-5
0.736, 3.109e-5
0.740, 2.977e-5
0.744, 2.852e-5
0.748, 2.733e-5
0.752, 2.620e-5
0.756, 2.513e-5
0.760, 2.411e-5
0.764, 2.315e-5
0.768, 2.225e-5
0.772, 2.140e-5
0.776, 2.059e-5
0.780, 1.983e-5
0.784, 1.912e-5
0.788, 1.842e-5
0.792, 1.777e-5
0.796, 1.717e-5
0.800, 1.660e-5
0.804, 1.605e-5
0.808, 1.554e-5
0.812, 1.506e-5
0.816, 1.461e-5
0.820, 1.418e-5
0.824, 1.377e-5
0.828, 1.339e-5
0.832, 1.304e-5
0.836, 1.271e-5
0.840, 1.240e-5
0.844, 1.211e-5
0.848, 1.183e-5
0.852, 1.158e-5
0.856, 1.134e-5
0.860, 1.112e-5
0.864, 1.092e-5
0.868, 1.074e-5
0.872, 1.057e-5
0.876, 1.042e-5
0.880, 1.028e-5
0.884, 1.015e-5
0.888, 1.004e-5
0.892, 9.944e-6
0.896, 9.858e-6
0.900, 9.784e-6
