Jan. 30, 2024   20:13:41
Differential Pulse Voltammetry
File: c:\users\admin\desktop\20240130Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0.4
Final E (V) = 0.9
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:
Ep = 0.668V
ip = 4.827e-5A
Ap = 5.854e-6VA

Potential/V, Current/A

0.404, 6.295e-5
0.408, 5.980e-5
0.412, 5.760e-5
0.416, 5.620e-5
0.420, 5.552e-5
0.424, 5.545e-5
0.428, 5.590e-5
0.432, 5.681e-5
0.436, 5.818e-5
0.440, 5.995e-5
0.444, 6.205e-5
0.448, 6.445e-5
0.452, 6.709e-5
0.456, 6.985e-5
0.460, 7.271e-5
0.464, 7.558e-5
0.468, 7.831e-5
0.472, 8.083e-5
0.476, 8.307e-5
0.480, 8.491e-5
0.484, 8.631e-5
0.488, 8.720e-5
0.492, 8.760e-5
0.496, 8.753e-5
0.500, 8.700e-5
0.504, 8.610e-5
0.508, 8.490e-5
0.512, 8.350e-5
0.516, 8.199e-5
0.520, 8.042e-5
0.524, 7.889e-5
0.528, 7.743e-5
0.532, 7.610e-5
0.536, 7.491e-5
0.540, 7.391e-5
0.544, 7.306e-5
0.548, 7.242e-5
0.552, 7.197e-5
0.556, 7.171e-5
0.560, 7.162e-5
0.564, 7.171e-5
0.568, 7.196e-5
0.572, 7.237e-5
0.576, 7.292e-5
0.580, 7.360e-5
0.584, 7.441e-5
0.588, 7.534e-5
0.592, 7.637e-5
0.596, 7.750e-5
0.600, 7.873e-5
0.604, 8.006e-5
0.608, 8.147e-5
0.612, 8.299e-5
0.616, 8.461e-5
0.620, 8.631e-5
0.624, 8.810e-5
0.628, 8.994e-5
0.632, 9.180e-5
0.636, 9.366e-5
0.640, 9.550e-5
0.644, 9.725e-5
0.648, 9.887e-5
0.652, 1.003e-4
0.656, 1.016e-4
0.660, 1.025e-4
0.664, 1.032e-4
0.668, 1.035e-4
0.672, 1.035e-4
0.676, 1.030e-4
0.680, 1.021e-4
0.684, 1.009e-4
0.688, 9.938e-5
0.692, 9.749e-5
0.696, 9.534e-5
0.700, 9.298e-5
0.704, 9.044e-5
0.708, 8.777e-5
0.712, 8.503e-5
0.716, 8.224e-5
0.720, 7.948e-5
0.724, 7.671e-5
0.728, 7.400e-5
0.732, 7.136e-5
0.736, 6.877e-5
0.740, 6.625e-5
0.744, 6.380e-5
0.748, 6.141e-5
0.752, 5.909e-5
0.756, 5.684e-5
0.760, 5.464e-5
0.764, 5.253e-5
0.768, 5.047e-5
0.772, 4.849e-5
0.776, 4.660e-5
0.780, 4.477e-5
0.784, 4.300e-5
0.788, 4.132e-5
0.792, 3.972e-5
0.796, 3.819e-5
0.800, 3.672e-5
0.804, 3.533e-5
0.808, 3.401e-5
0.812, 3.277e-5
0.816, 3.159e-5
0.820, 3.047e-5
0.824, 2.941e-5
0.828, 2.842e-5
0.832, 2.749e-5
0.836, 2.663e-5
0.840, 2.581e-5
0.844, 2.504e-5
0.848, 2.432e-5
0.852, 2.364e-5
0.856, 2.300e-5
0.860, 2.241e-5
0.864, 2.187e-5
0.868, 2.135e-5
0.872, 2.088e-5
0.876, 2.044e-5
0.880, 2.003e-5
0.884, 1.966e-5
0.888, 1.932e-5
0.892, 1.900e-5
0.896, 1.871e-5
0.900, 1.845e-5
